code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
605136,丽人丽妆,-9.967051071,2.811,18.716,商贸零售-互联网电商-互联网电商Ⅲ,拼多多概念;网红经济;三胎概念;跨境电商;抖音概念(字节概念);阿里巴巴概念;乡村振兴;创投,8,-170348886.0,18.40697772,4377011400.0
600829,人民同泰,-9.968652038,0.91,9.618,医药生物-医药商业-医药流通,民营医院;流感;冷链物流;医药电商;眼科医疗;黑龙江自贸区;宠物经济;医疗器械概念,8,-57114175.0,9.8292835,8327200300.0
002927,泰永长征,-9.985869053,1.36,16.787,电力设备-电网设备-输变电设备,西部大开发;高铁;商业航天;核电;数字经济;智能电网;光伏概念;虚拟电厂;工业互联网;充电桩;储能;高压快充;专精特新;数据中心;比亚迪概念;5G;PCB概念,17,-85062604.0,15.10125208,4218300000.0
603822,嘉澳环保,-9.998014297,1.576,6.555,基础化工-化学制品-其他化学制品,碳中和;长三角一体化,2,-47959680.0,9.269193600000001,6964266600.0
001216,华瓷股份,-10.013233348,0.644,4.727,轻工制造-家居用品-其他家居用品,NFT概念;跨境电商;牙科医疗;参股银行;华为概念;人民币贬值受益;柔性直流输电;特高压;智能穿戴;消费电子概念,10,-5085316.0,4.863039653333334,5018888600.0
603778,国晟科技,-10.033444816,0.973,28.47,电力设备-光伏设备-光伏电池组件,硅能源;TOPCON电池;钙钛矿电池;HJT电池;新型城镇化;PPP概念;固态电池;光伏概念;虚拟电厂;储能,10,-155643173.0,15.54536346,5187857100.0
002682,龙洲股份,-10.056657224,1.842,26.887,交通运输-物流-物流Ⅲ,海峡两岸;网约车;职业教育;智慧城市;ETC;垃圾分类;人工智能;水利;污水处理;冷链物流;乡村振兴;农村电商;统一大市场;车联网(车路协同);新疆振兴;航运概念;卫星导航;充电桩;一带一路;天然气;机器人概念;国企改革;军工;商业航天;新能源汽车;储能;燃料电池;氢能源;宁德时代概念,29,-88317967.0,16.371359339999998,3570987200.0
