code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,首次涨停时间,最终涨停时间,最终涨停时间,涨停封单量,涨停封单额,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
601279,英利汽车,5.78,10.095238095,涨停,0.764537,极低,-116.5497,亏损,海峡两岸;长安汽车概念;新能源汽车;锂电池概念;比亚迪概念;沪股通,汽车-汽车零部件-其他汽车零部件,2天2板,5,3,True,9165843000.0,小盘,45202831.9,3.059524,温和,8.805031, 09:30:03, 09:32:00, 09:30:03, 09:33:15,19551300,113006514.0,0,极好,9.03161620906599,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
000859,国风新材,7.89,10.041841004,涨停,3.927048,活跃,-73.442,亏损,光刻胶;国企改革;芯片概念;柔性屏(折叠屏);装配式建筑;新能源汽车;深股通;融资融券,基础化工-塑料制品-膜材料,2天2板,6,3,True,7068850400.0,小盘,61025627.8,7.666821,温和,10.736196, 09:25:00, 10:02:15, 09:33:48, 10:48:20,11826395,93310256.55,2,良好,12.777658539338722,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
000798,中水渔业,13.72,10.024057739,涨停,0.367641,极低,64.0669,过高,预制菜;参股保险;国企改革;央企国企改革;人工智能;中字头股票,农林牧渔-养殖业-海洋捕捞,5天5板,6,4,True,5019272800.0,小盘,-52926366.0,2.30718,低迷,0.0, 09:25:00, 09:30:00, 14:18:24, 09:30:00,6106594,83782469.68,2,良好,6.327350552379059,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
603216,梦天家居,19,10.017371164,涨停,0.822371,偏低,51.2297,偏高,参股银行;智能家居;芯片概念;工业互联网,轻工制造-家居用品-定制家居,2天2板,4,2,True,4231110000.0,小盘,10439835.0,0.999685,低迷,0.0, 09:25:03, 09:30:00, 09:25:03, 09:30:00,6986935,132751765.0,0,极好,6.2961856418386954,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
001390,古麒绒材,32.96,10.013351135,涨停,1.41952,正常,32.4179,偏高,参股银行;注册制次新股;专精特新;新股与次新股;融资融券,纺织服饰-纺织制造-其他纺织,2天2板,4,1,True,1615002000.0,微盘,26226980.0,43.829741,异常,14.243759, 13:57:03, 13:05:22, 13:57:03, 13:46:30,1540994,50791162.24,0,极好,11.438894746830584,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
002474,榕基软件,11.32,10.009718173,涨停,1.37404,正常,-147.5131,亏损,Web3.0;云办公;华为鲲鹏;智慧政务;在线教育;军工信息化;数据安全;信创;网络安全;区块链;数据要素;鸿蒙概念;数字经济;安防;智慧城市;福建自贸区;海峡两岸;人工智能;核污染防治;虚拟现实;华为概念;物联网;电力物联网;物业管理;智能电网;融资融券,计算机-IT服务-IT服务Ⅲ,4天4板,25,5,True,6008270500.0,小盘,134178641.0,16.677892,活跃,6.31016, 09:30:27, 09:30:00, 09:30:27, 11:22:51,21304348,241165219.36,0,极好,15.707546066462937,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
002213,大为股份,36.64,9.996997899,涨停,1.473176,正常,-788.1722,亏损,存储芯片;汽车芯片;WiFi 6;小金属概念;芯片概念;信创;硅能源;PCB概念;消费电子概念;无人驾驶;创投;粤港澳大湾区;比亚迪概念;锂电池概念;新能源汽车,电子-半导体-数字芯片设计,3天3板,15,4,True,7573244100.0,小盘,36968551.0,43.512292,异常,15.521796, 09:48:33, 10:40:38, 09:50:33, 13:10:58,2451600,89826624.0,2,良好,14.509458864635967,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
002877,智能自控,12,9.990834097,涨停,1.614868,正常,171.8043,严重高估,人工智能;工业互联网;新型工业化;专精特新,机械设备-通用设备-金属制品,3天3板,4,3,True,2886175800.0,微盘,354401.0,4.320203,温和,0.0, 14:50:45, 09:30:00, 15:00:00, 09:30:00,630950,7571400.0,4,一般,8.93389766,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
000663,永安林业,9.8,9.988776655,涨停,1.415759,正常,-113.7791,亏损,土地流转;海峡两岸;天然气;乡村振兴;碳中和;国企改革;碳交易;央企国企改革,农林牧渔-种植业与林业-林业,4天3板,8,4,True,3001751700.0,小盘,59869347.0,16.858701,活跃,14.691358, 11:13:42, 09:53:29, 14:56:51, 11:08:50,4776756,46812208.8,3,一般,13.268963935711424,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
601566,九牧王,18.41,9.976105137,涨停,2.446354,活跃,23.2591,合理,网红经济;福建自贸区;IP经济(谷子经济);海峡两岸;2025中报预增;融资融券;沪股通,纺织服饰-服装家纺-服装,7天7板,5,2,True,10579069900.0,中盘,-180547281.0,12.766396,活跃,15.308804, 09:30:25, 09:34:45, 14:43:34, 13:00:07,1998200,36786862.0,8,较差,12.05609449341529,D,49.0,20.0,43.659834035527375,"国企改革, 海峡两岸, 人工智能, 芯片概念, 锂电池概念",20251119,False
