code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
300557,理工光科,39.34,20.01220256253814,涨停,2.341,活跃,90.029,过高,光纤概念;传感器;车联网(车路协同);专精特新;物联网;小米概念;军工;国企改革;核电;央企国企改革;可控核聚变,机械设备-通用设备-仪器仪表,首板涨停,1,11,3,True,4692737400.0,小盘,108043388.0,17.817,活跃,22.178, 13:15:27, 13:22:33,可控核聚变+光纤传感+央企,1192539,46914484.26,5.611240822862849,一般,2,良好,15.015745236881504,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
300947,德必集团,22.51,19.989339019189764,涨停,8.088,异常活跃,253.983,严重高估,租售同权;物业管理;旅游概念;IP经济(谷子经济);新型城镇化;建筑节能;空间计算;DeepSeek概念;人工智能;元宇宙;ChatGPT概念;融资融券,商贸零售-零售-商业物业经营,首板涨停,1,11,4,True,3400759700.0,小盘,165991307.0,21.457,激烈,20.736, 10:35:15, 11:25:42,谷子经济+园区运营+轻资产扩张,1100075,24762688.25,3.3935766257000433,较弱,2,良好,15.307300562336428,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
300703,创源股份,28.22,19.98299319727891,涨停,5.166,异常活跃,47.932,偏高,托育服务;宠物经济;三胎概念;IP经济(谷子经济);跨境电商;共同富裕示范区;文化传媒概念;体育产业;绿色电力;国企改革;一带一路;人民币贬值受益;人工智能,轻工制造-家居用品-文娱用品,首板涨停,1,13,4,True,4787849900.0,小盘,135224389.0,18.598,活跃,21.046, 13:02:42, 13:02:42,祈福文创+AI玩具+宁波国资+IP潮玩,2646472,74683439.84,8.387294595866143,一般,0,极好,15.733974421517548,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
002133,广宇集团,3.47,10.158730158730169,涨停,0.741,极低,21.285,合理,物业管理;农业种植;粮食概念;养老概念;乡村振兴;玉米;互联网金融;机器人概念,房地产-房地产-住宅开发,首板涨停,1,8,2,True,2671449600.0,微盘,35501182.6,6.853,温和,10.476, 13:00:12, 13:00:12,银发康养+外骨骼机器人+房地产+回购,7263500,25204345.0,13.767846192715236,较强,0,极好,8.98441,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
600076,康欣新材,3.15,10.139860139860142,涨停,6.508,异常活跃,-16.769,亏损,土地流转;碳交易;乡村振兴;碳中和;国企改革;回购增持再贷款概念;融资融券,轻工制造-包装印刷-包装,首板涨停,1,6,2,True,4235311600.0,小盘,76411299.0,7.497,温和,10.49, 13:55:45, 13:55:45,碳汇+集装箱底板+国企改革+木结构建筑,14119863,44477568.45,14.008676137496689,较强,0,极好,11.76059,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
002501,利源股份,2.39,10.138248847926278,涨停,3.17,活跃,-71.962,亏损,新能源汽车;光伏概念;军工;深股通;融资融券;股权转让(并购重组),有色金属-工业金属-铝,首板涨停,1,4,3,True,8476061400.0,小盘,137141491.0,5.221,温和,10.138, 10:24:00, 10:24:00,军工+新能源汽车+铝型材+轻量化,32048782,76596588.98,17.309512378716065,较强,0,极好,12.385121545458794,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
000863,三湘印象,5.67,10.097087378640767,涨停,1.889,正常,680.953,严重高估,租售同权;旅游概念;物业管理;光伏建筑一体化;IP经济(谷子经济);文化传媒概念;创投;数字经济;一带一路;长三角一体化;Web3.0;元宇宙;智能家居;人工智能;虚拟现实;深股通;融资融券,房地产-房地产-住宅开发,2天2板,2,15,4,True,6597699400.0,小盘,91137015.0,10.523,活跃,13.01, 10:06:45, 14:47:21,IP经济+旅游演艺+绿色地产,2541100,14408037.0,2.0753337239696545,较弱,1,良好,14.51531,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
002596,海南瑞泽,5.35,10.082304526748956,涨停,1.41,正常,-56.709,亏损,海南自贸区;自由贸易港;特色小镇;旅游概念;水泥概念;新型城镇化;装配式建筑;垃圾分类;PPP概念;固废处理;雄安新区;水利;一带一路;融资融券,建筑材料-建筑材料-水泥,首板涨停,1,13,1,True,6133910200.0,小盘,97652204.0,18.989,活跃,14.198, 14:19:09, 14:52:00,海南自贸港+商品混凝土,9426384,50431154.4,4.329764110501221,较弱,2,良好,11.402280000000001,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
603817,海峡环保,7.55,10.058309037900866,涨停,1.536,正常,16.768,合理,海峡两岸;福建自贸区;垃圾分类;污水处理;PPP概念;固废处理;绿色电力;国企改革,环保-环境治理-水务及水治理,首板涨停,1,8,2,True,4304134500.0,小盘,60999775.0,6.618,温和,10.641, 11:05:29, 11:05:29,福州国资+污水处理+滨海项目+AI水务,8617379,65061211.45,22.83940017366934,极强,0,极好,10.742085,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
002644,佛慈制药,9.52,10.057803468208082,涨停,6.804,异常活跃,95.742,过高,医药电商;流感;肝炎概念;农业种植;三胎概念;医疗器械概念;消毒剂;国企改革;西部大开发,医药生物-中药-中药Ⅲ,首板涨停,1,9,2,True,4861454600.0,小盘,91799124.0,4.829,温和,10.867, 10:50:48, 10:53:15,九州通合作+流感+大健康+甘肃国资,4528985,43115937.2,18.367869286849803,较强,3,一般,10.920754999999998,E,82.0,6.0,84.28005940665292,"国企改革, 军工, 新能源汽车, 人工智能, 商业航天",20251219,False
