code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
002390,信邦制药,-9.879518072,2.581,8.051,医药生物-中药-中药Ⅲ,医药电商;流感;肝炎概念;民营医院;土地流转;医美概念;冷链物流;农业种植;养老概念;基因测序;医疗器械概念;乡村振兴;西部大开发;创投;牙科医疗;深股通;融资融券,17,-144079715.0,13.248927633333334,7210040200.0
002702,海欣食品,-9.949748744,0.69,32.814,食品饮料-食品加工制造-预加工食品,人造肉;预制菜;福建自贸区;海峡两岸,4,-56862126.0,12.86224252,4110344000.0
002512,达华智能,-9.950248756,0.91,21.822,计算机-计算机设备-其他计算机设备,海峡两岸;福建自贸区;数字乡村;乡村振兴;智慧政务;商业航天;6G概念;智慧城市;卫星导航;5G;一带一路;数字经济;互联网金融;物联网;在线教育;华为鲲鹏;消费电子概念;数据要素;虚拟数字人;人工智能;鸿蒙概念;小米概念;机器人概念;深股通;融资融券,25,-90926249.0,14.09352498,7923830900.0
000070,特发信息,-9.966329966,1.047,27.377,通信-通信设备-通信线缆及配套,共封装光学(CPO);深圳国企改革;国资云;F5G概念;6G概念;抖音概念(字节概念);算力租赁;阿里巴巴概念;百度概念;腾讯概念;信创;卫星导航;光纤概念;军工信息化;东数西算(算力);智慧灯杆;5G;智慧城市;人工智能;华为概念;商业航天;成飞概念;数据中心;无人机;低空经济;粤港澳大湾区;物业管理;大飞机;创投;军工;智能电网;高铁;国企改革;特高压;一带一路;深股通;绿色电力;蚂蚁集团概念;传感器;光伏概念;摘帽,41,-503580550.0,22.689111,11881636300.0
002830,名雕股份,-9.985666507,0.847,15.523,建筑装饰-建筑装饰-装饰园林,物业管理;粤港澳大湾区;华为概念,3,-16860272.5,12.45470545,1259501100.0
002264,新华都,-9.990300679,0.893,20.115,传媒-文化传媒-广告营销,赛马概念;小红书概念;快手概念;拼多多概念;虚拟数字人;AIGC概念;抖音概念(字节概念);网红经济;阿里巴巴概念;AI智能体;数据要素;数字经济;体育产业;福建自贸区;海峡两岸;人工智能;DeepSeek概念;跨境电商,18,-125866751.0,14.74983502,6076384500.0
000063,中兴通讯,-9.995240362,2.864,10.83,通信-通信设备-通信网络设备及器件,AI手机;汽车芯片;中国AI 50;光纤概念;AI眼镜;星闪概念;6G概念;消费电子概念;智能穿戴;汽车电子;芯片概念;太赫兹;5G;液冷服务器;东数西算(算力);国产操作系统;虚拟现实;商业航天;数据中心;物联网;多模态AI;人形机器人;车联网(车路协同);量子科技;网络安全;无人机;百度概念;元宇宙;机器人概念;ChatGPT概念;腾讯概念;AI智能体;比亚迪概念;智慧城市;人工智能;区块链;新能源汽车;低空经济;粤港澳大湾区;DeepSeek概念;智能医疗;数字经济;深股通;融资融券;储能;锂电池概念;同花顺漂亮100;海峡两岸;证金持股;乡村振兴;抖音概念(字节概念),51,-3986529300.0,27.22,152314760000.0
603696,安记食品,-9.995654063,1.55,26.953,食品饮料-食品加工制造-调味发酵品,海峡两岸;2025中报预增;互联网金融;融资融券,4,-73262547.0,15.34025094,4870992000.0
000701,厦门信达,-10,0.639,12.841,商贸零售-贸易-贸易Ⅲ,海峡两岸;福建自贸区;统一大市场;无人零售;IP经济(谷子经济);创投;智慧城市;数字经济;军工信息化;国企改革;一带一路;智能物流;互联网金融;Web3.0;石墨烯;AIGC概念;车联网(车路协同);物联网;低空经济;无人机;MiniLED;专精特新;金属铜;小米概念;华为汽车;小金属概念;小米汽车;金属镍,28,-33030929.0,10.818785246666666,4746661300.0
605299,舒华体育,-10,0.417,4.363,轻工制造-家居用品-文娱用品,体育产业;足球概念;冰雪产业;海峡两岸;跨境电商;养老概念;人工智能;DeepSeek概念;鸿蒙概念;华为概念,10,-18783511.0,4.326836886666667,5598218800.0
