code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
920641,格利尔,23.84,29.989094874591057,涨停,12.47,异常活跃,82.145,过高,融资融券;车联网(车路协同);虚拟电厂;智能音箱;智慧灯杆;智慧城市;新能源汽车;家用电器;光伏概念;军工;充电桩;储能;传感器;东数西算(算力);一带一路,电子-元件-被动元件,首板涨停,1,14,5,True,1064556600.0,微盘,,27.042,激烈,18.975, 09:56:03, 13:07:30,凤阳国资入主+复牌+磁性器件,544783,12987626.72,4.511594322799574,较弱,8,较差,14.890839999999999,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
920207,众诚科技,32.0,29.97562956945572,涨停,4.044,活跃,-224.922,亏损,AI智能体;鸿蒙概念;融资融券;虚拟现实;虚拟数字人;芯片概念;职业教育;网络安全;空间计算;智能医疗;智慧城市;智慧政务;数据要素;数据安全;数据中心;数字经济;数字孪生;多模态AI;华为鲲鹏;华为概念;华为昇腾;信创;元宇宙;人工智能;云计算;东数西算(算力);专精特新;AIGC概念;DeepSeek概念,计算机-软件开发-垂直应用软件,首板涨停,1,28,11,True,1800943000.0,微盘,,35.491,异常,33.022, 14:02:39, 14:02:39,AI应用+河南政务+数字孪生,1763732,56439424.0,8.830080826541048,一般,0,极好,17.19666794210206,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
300051,琏升科技,8.68,20.05532503457814,涨停,4.186,活跃,-26.874,亏损,海峡两岸;福建自贸区;Web3.0;HJT电池;云办公;云计算;光伏概念;智能电网;TOPCON电池;储能;钠离子电池,电力设备-光伏设备-光伏电池组件,首板涨停,1,11,1,True,3191427800.0,小盘,49944685.0,19.779,活跃,12.448, 10:08:57, 10:08:57,光伏+航空航天适配+定增,6720696,58335641.28,9.241583556261155,一般,0,极好,12.94558,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
300063,天龙集团,10.85,20.02212389380532,涨停,3.664,活跃,55.649,偏高,小红书概念;快手概念;AIGC概念;文化传媒概念;抖音概念(字节概念);百度概念;阿里巴巴概念;网红经济;腾讯概念;职业教育;人工智能;独角兽概念;华为概念;长安汽车概念;丙烯酸;光刻胶;深股通,传媒-文化传媒-广告营销,首板涨停,1,16,3,True,6798115700.0,小盘,714083560.0,42.293,异常,20.354, 09:39:21, 13:52:57,AIGC+AI营销+油墨+字节概念,6663450,72298432.5,2.5146438013442527,较弱,6,较差,16.694348984825464,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
300986,志特新材,27.82,20.01725625539258,涨停,0.349,极低,72.933,过高,量子科技;人工智能;机器人概念;一带一路;雅下水电概念;装配式建筑;新型城镇化;深股通;融资融券,建筑材料-建筑材料-其他建材,5天5板,5,7,3,True,11452209700.0,中盘,52231633.0,4.916,温和,3.106, 09:25:00, 09:47:57,AI4S+新材料+机器人+量子科技,3487349,97018049.18,17.23430226840419,较强,2,良好,7.805020000000001,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
300878,维康药业,35.33,20.006793478260857,涨停,1.541,正常,-30.977,亏损,民营医院;肝炎概念;流感;创新药;医药电商;融资融券,医药生物-中药-中药Ⅲ,首板涨停,1,5,0,False,5091899500.0,小盘,17990910.0,4.774,温和,19.26, 13:26:18, 13:26:18,创新药+中药+肝炎概念,1507560,53262094.8,21.910798476202768,极强,0,极好,7.71753,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
300102,乾照光电,37.43,20.006412311638343,涨停,1.295,正常,293.76,严重高估,卫星导航;商业航天;MicroLED概念;军工;福建自贸区;人脸识别;MiniLED;海峡两岸;共封装光学(CPO);第三代半导体;芯片概念;汽车电子;消费电子概念;光伏概念;家用电器;智能家居;深股通,电子-光学光电子-LED,2天2板,2,16,3,True,34298602000.0,大盘,24602400.0,27.325,激烈,17.57, 14:49:33, 14:50:51,商业航天+砷化镓电池+光通信芯片,6505702,243508425.86,2.598212103773974,较弱,1,良好,14.686590506052553,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
688418,震有科技,57.29,20.004189359028064,涨停,1.696,正常,-175.343,亏损,商业航天;卫星导航;6G概念;军工;智慧灯杆;低空经济;无人机;智慧城市;智慧政务;量子科技;车联网(车路协同);网络安全;飞行汽车(eVTOL);养老概念;物联网;DeepSeek概念;AI智能体;WiFi 6;人工智能;无人驾驶;华为概念;一带一路;工业互联网;华为数字能源;5G;机器人概念;F5G概念;光纤概念;数据中心;沪股通;融资融券,通信-通信设备-其他通信设备,首板涨停,1,29,11,True,11031455000.0,中盘,80352580.0,18.72,活跃,19.083, 10:17:08, 14:50:59,卫星核心网+商业航天+低空经济,637080,36498313.2,1.7674038987307639,较弱,1,良好,15.9404,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
688387,信科移动,15.84,20.000000000000007,涨停,1.078,偏低,-246.133,亏损,商业航天;卫星导航;6G概念;低空经济;央企国企改革;车联网(车路协同);网络安全;专精特新;人工智能;物联网;DeepSeek概念;工业互联网;机器视觉;国企改革;东数西算(算力);芯片概念;5G;沪股通;融资融券,通信-通信设备-通信网络设备及器件,首板涨停,1,17,6,True,31945751000.0,大盘,337363280.0,9.298,温和,12.803, 09:41:26, 11:08:38,卫星互联网+6G+央企,7762328,122955275.52,4.139284879325747,较弱,2,良好,12.221060000000001,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
300244,迪安诊断,21.72,19.999999999999986,涨停,3.167,活跃,179.542,严重高估,DRG/DIP;AIGC概念;智能医疗;ChatGPT概念;多模态AI;AI智能体;基因测序;细胞免疫治疗;数据要素;阿尔茨海默概念;阿里巴巴概念;养老概念;辅助生殖;人工智能;医疗器械概念;职业教育;DeepSeek概念;CRO概念;三胎概念;猴痘概念;肝炎概念;共同富裕示范区;华为概念;冷链物流;深股通;融资融券,医药生物-医疗服务-其他医疗服务,首板涨停,1,24,7,True,10891690800.0,中盘,289589410.0,20.803,激烈,16.133, 09:33:33, 13:09:09,AI医疗+DRG/DIP+病理AI获批,2829172,61449615.84,2.711994215070823,较弱,4,一般,15.96606,E,107.0,1.0,89.16461649627065,"人工智能, 国企改革, 华为概念, DeepSeek概念, 商业航天",20260109,False
