code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
<<<<<<< HEAD
600200,退市苏吴,-8.888888888888896,0.46178,4.73346,医药生物-化学制药-化学制剂,,1,296099.6,4.31009,291460586.8
601933,永辉超市,-9.909909909909908,1.755855,14.373873,商贸零售-零售-百货零售,福建自贸区;海峡两岸;预制菜;IP经济(谷子经济);统一大市场;冷链物流;跨境电商;腾讯概念;股权转让(并购重组);沪股通;融资融券,11,-1270974570.0,28.972219499999998,45375184965.0
600280,中央商场,-9.954751131221718,1.338433,13.377745,商贸零售-零售-百货零售,物业管理,1,-58944501.0,13.443469186666668,4490772456.24
003016,欣贺股份,-9.991311902693313,0.713498,9.211472,纺织服饰-服装家纺-服装,海峡两岸;福建自贸区;跨境电商;流感;智能物流;2025中报预增;数字经济;腾讯概念;数据要素,9,-22446259.0,8.373651513333334,4256746243.12
002725,跃岭股份,-10.000000000000005,2.132945,36.415981,汽车-汽车零部件-轮胎轮毂,2025中报预增;碳纤维;燃料电池;5G;新能源汽车;人民币贬值受益;共同富裕示范区;芯片概念;回购增持再贷款概念;中俄贸易概念;一带一路;股权转让(并购重组),12,-96903701.0,16.938074020000002,4045223475.72
000823,超声电子,-10.006455777921243,0.989745,10.778148,电子-元件-印制电路板,共封装光学(CPO);PCB概念;毫米波雷达;5G;汽车电子;苹果概念;AI眼镜;消费电子概念;传感器;东数西算(算力);无人机;虚拟现实;比亚迪概念;深股通;融资融券;国企改革;证金持股,17,-31899917.0,10.29779284,7485345699.3
603778,国晟科技,-10.00719942404608,0.959012,22.206356,电力设备-光伏设备-光伏电池组件,硅能源;HJT电池;TOPCON电池;钙钛矿电池;新型城镇化;固态电池;锂电池概念;PPP概念;虚拟电厂;光伏概念;储能,11,-92616087.0,14.24985174,8035714275.0
605299,舒华体育,-10.014619883040929,1.444828,13.192506,轻工制造-家居用品-文娱用品,海峡两岸;足球概念;体育产业;冰雪产业;跨境电商;华为概念;养老概念;人工智能;鸿蒙概念;DeepSeek概念,10,-28636103.0,12.979796059999998,5037578498.13
002319,乐通股份,-10.025706940874036,0.947051,2.5452,基础化工-化学制品-涂料油墨,横琴新区;文化传媒概念;石墨烯;HJT电池;光伏概念;柔性屏(折叠屏),6,-8903028.0,4.2424880599999995,2100000000.0
603506,南都物业,-10.02691790040377,4.159114,15.522311,房地产-房地产-房地产服务,物业管理;垃圾分类;养老概念;长三角一体化;2025中报预增;机器人概念,6,17519897.8,15.0,2510588905.23
002105,信隆健康,-10.046728971962619,1.536462,19.693488,汽车-汽车服务及其他-其他运输设备,共享单车;海峡两岸;体育产业;三胎概念;养老概念;医疗器械概念;人民币贬值受益;两轮车;小米概念,9,-76344566.0,15.368046320000001,2806434207.5
600828,茂业商业,-10.055865921787705,0.837656,6.105574,商贸零售-零售-百货零售,物业管理;信托概念;西部大开发;沪股通,4,-25679427.0,6.6781112066666655,11149959565.64
603879,永悦科技,-10.060975609756087,1.161436,14.864897,基础化工-塑料制品-合成树脂,海峡两岸;农机;低空经济;无人机;机器人概念;摘帽,6,-15975547.0,13.133032273333333,2120132196.0
002162,悦心健康,-10.079051383399205,1.231278,8.836081,轻工制造-家居用品-瓷砖地板,民营医院;三胎概念;养老概念;物业管理;辅助生殖;参股保险;创投;牙科医疗;租售同权;职业教育;海峡两岸;智能医疗;人工智能;机器人概念,14,-52036905.0,10.009653766666666,4179148250.55
002133,广宇集团,-10.109289617486342,2.708236,17.937036,房地产-房地产-住宅开发,物业管理;农业种植;粮食概念;乡村振兴;养老概念;玉米;互联网金融;机器人概念,8,27275642.0,15.0,2532872961.29
=======
600200,退市苏吴,-8.888888888888896,0.462,4.734,医药生物-化学制药-化学制剂,,1,296099.6,4.311,291460590.0
