code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
002591,恒大高新,-9.975369458128075,0.695,5.541,基础化工-化学制品-其他化学制品,钠离子电池;固态电池;锂电池概念;垃圾分类;绿色电力;专精特新;军工;智慧城市;军民融合;腾讯概念;超超临界发电;百度概念;文化传媒概念;数据要素;阿里巴巴概念;拼多多概念;抖音概念(字节概念),17,-16357004.3,5.758640086,1633876100.0
002163,海南发展,-9.983221476510062,0.358,11.552,建筑装饰-建筑装饰-装饰园林,海南自贸区;免税店;光伏概念;国企改革;回购增持再贷款概念;宠物经济;融资融券;深股通,8,-566716744.0,19.930668213333334,17244159000.0
605003,众望布艺,-9.985935302390992,0.591,3.927,纺织服饰-服装家纺-家纺,共同富裕示范区;人民币贬值受益,2,-11132296.0,4.31814592,3520000000.0
600783,鲁信创投,-9.98786898503841,1.888,16.804,非银金融-多元金融-多元金融Ⅲ,创投;代糖概念;参股券商;国企改革;融资融券;沪股通,6,-618800279.0,27.096005579999996,16569438000.0
002117,东港股份,-9.992758870383785,2.007,10.324,轻工制造-包装印刷-印刷,数字货币;机器人概念;电子身份证;人形机器人;移动支付;蚂蚁集团概念;东数西算(算力);数据中心;物联网;数据确权;Web3.0;人脸识别;区块链;信创;数字经济;智慧政务;知识产权保护;财税数字化;DeepSeek概念;阿里巴巴概念;ChatGPT概念;拼多多概念;深股通;融资融券,24,-137237159.0,14.627409846666668,6507784700.0
001299,美能能源,-9.993201903467032,2.421,13.954,公用事业-燃气-燃气Ⅲ,天然气;西部大开发;物联网,3,-72224566.0,15.747157986666668,2891628200.0
002598,山东章鼓,-10.009354536950424,0.532,1.127,机械设备-通用设备-其他通用设备,碳纤维;污水处理;储能;无人机;物联网;机器人概念;军工;碳交易;高端装备;传感器;数据中心;军民融合;国企改革;锂电池概念;核电;芯片概念;固态电池;钠离子电池;融资融券,19,-19467994.1,2.470693215333333,2707488000.0
603878,武进不锈,-10.043196544276455,2.294,7.602,钢铁-钢铁-普钢,光热发电;海工装备;超超临界发电;核电;氢能源,5,-144561497.7,12.959229954000001,4673729200.0
