code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,首次涨停时间,最终涨停时间,最终涨停时间,涨停封单量,涨停封单额,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
688523,航天环宇,38.04,20,涨停,2.124221,活跃,176.4658,严重高估,卫星导航;商业航天;大飞机;无人机;航空发动机;低空经济;2025中报预增;沪股通;融资融券,国防军工-军工装备-航天装备,首板涨停,7,5,True,3671466243.48,小盘,74232631.0,17.705218,活跃,19.185812, 14:54:50, 09:50:21, 14:54:50, 09:50:21,2798406.0,106451364.24,0,极好,14.839242966535384,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
002285,世联行,3.03,10.181818182,涨停,2.282282,活跃,-113.6724,亏损,租售同权;化债概念(AMC概念);物业管理;特色小镇;新型城镇化;横琴新区;养老概念;互联网金融;国企改革;云计算;粤港澳大湾区;华为概念;深股通;融资融券,房地产-房地产-房地产服务,首板涨停,12,3,True,5986601964.78,小盘,156593404.0,13.96691,活跃,15.679442, 11:13:24, 09:50:06, 13:24:13, 10:02:51,6396994.0,19382891.82,1,良好,14.8227202,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
002413,雷科防务,7.66,10.057471264,涨停,1.256877,正常,-69.437,亏损,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;大飞机;数据要素;无人机;毫米波雷达;军工;人工智能;5G;车联网(车路协同);东数西算(算力);华为概念;DeepSeek概念;芯片概念;养老概念;低空经济;京津冀一体化;无人驾驶;汽车电子;存储芯片;比亚迪概念;深股通;融资融券,国防军工-军工电子-军工电子Ⅲ,5天4板,25,15,True,9904988204.0,小盘,406097050.0,9.447039,温和,10.017271, 09:44:52, 09:38:33, 09:44:52, 09:38:33,49936489.0,382513505.74,0,极好,14.791564431631771,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
003018,金富科技,20.52,10.026809651,涨停,0.365773,极低,29.2386,合理,,轻工制造-包装印刷-包装,5天5板,0,0,False,2010527541.0,微盘,30024864.0,5.646276,温和,0.0, 09:30:00, 09:30:00, 09:30:00, 09:30:00,5079300.0,104227236.0,0,极好,3.0651699700000004,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
603216,梦天家居,28.66,10.019193858,涨停,2.490162,活跃,68.1975,过高,智能家居;工业互联网;芯片概念;参股银行,轻工制造-家居用品-定制家居,8天6板,4,1,True,6382295400.0,小盘,12848876.0,7.697694,温和,15.358851, 10:05:21, 09:45:06, 14:35:50, 09:45:06,246700.0,7070422.0,10,较差,9.34349268,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
000547,航天发展,13.51,10.016286645,涨停,1.5656,正常,-33.4522,亏损,军工信息化;军民融合;海峡两岸;福建自贸区;华为鲲鹏;智慧政务;华为欧拉;商业航天;网络安全;卫星导航;信创;安防;数据安全;军工;多模态AI;元宇宙;数字经济;无人机;人工智能;低空经济;MR(混合现实);虚拟现实;DeepSeek概念;东数西算(算力);华为概念;央企国企改革;乡村振兴;海工装备;5G;国企改革;芯片概念;风电;深股通;融资融券,国防军工-军工电子-军工电子Ⅲ,11天7板,32,15,True,21458617902.96,中盘,1073089600.0,33.610948,异常,17.903225, 14:08:45, 14:27:02, 14:08:45, 14:29:32,38226948.0,516446067.48,0,极好,16.12008737341529,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
601238,广汽集团,9.25,9.988109394,涨停,2.148194,活跃,-14.8279,亏损,低空经济;车联网(车路协同);飞行汽车(eVTOL);网约车;无人驾驶;华为概念;机器人概念;华为汽车;燃料电池;新能源汽车;充电桩;国企改革;人形机器人;石墨烯;宁德时代概念;智能座舱;锂电池概念;英伟达概念;固态电池;动力电池回收;同花顺漂亮100;汽车芯片;沪股通;融资融券,汽车-汽车整车-乘用车,首板涨停,22,5,True,68299202753.75,大盘,567337343.0,0.998458,低迷,0.131578, 10:05:51, 09:30:15, 13:36:10, 09:30:15,11639017.0,107660907.25,2,良好,11.28610801,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
603636,南威软件,14.43,9.984756098,涨停,1.369897,正常,-62.4811,亏损,数字水印;Web3.0;智谱AI;电子身份证;智慧政务;华为盘古;数据确权;华为鲲鹏;华为昇腾;数据要素;虚拟数字人;云计算;数据安全;信创;区块链;AI智能体;数字乡村;蚂蚁集团概念;百度概念;网络安全;鸿蒙概念;人脸识别;数字经济;算力租赁;智慧城市;阿里巴巴概念;DeepSeek概念;军工;车联网(车路协同);人工智能;东数西算(算力);房屋检测;华为概念;智慧灯杆;物联网;水利;海峡两岸;智能医疗;无人驾驶;PPP概念;沪股通;融资融券,计算机-IT服务-IT服务Ⅲ,首板涨停,40,10,True,8374602346.89,小盘,352926641.0,12.901482,活跃,9.291698, 09:37:01, 13:15:15, 09:37:01, 13:15:15,3506756.0,50602489.08,0,极好,14.754956923984123,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
002795,永和智控,6.94,9.984152139,涨停,1.247116,正常,-34.2264,亏损,民营医院;光伏概念;TOPCON电池;医疗器械概念;人民币贬值受益;股权转让(并购重组);BC电池,机械设备-通用设备-金属制品,首板涨停,7,0,False,3018362476.18,小盘,75739631.0,12.87631,活跃,9.591474, 09:57:51, 13:30:13, 09:57:51, 13:30:13,10703772.0,74284177.68,0,极好,8.53773345,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
603778,国晟科技,11.59,9.962049336,涨停,0.69996,极低,-26.377,亏损,硅能源;HJT电池;TOPCON电池;钙钛矿电池;新型城镇化;PPP概念;固态电池;锂电池概念;虚拟电厂;光伏概念;储能,电力设备-光伏设备-光伏电池组件,15天10板,11,1,True,7450714275.78,小盘,-13736997.0,19.734828,活跃,9.659863, 09:39:01, 10:04:16, 10:57:24, 10:15:25,5674100.0,65762819.0,5,一般,8.527089435,E,79.0,33.0,65.6179294228846,"华为概念, 国企改革, 低空经济, DeepSeek概念, 无人机",20251124,False
