code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
300774,倍杰特,20.8,20.023081362,涨停,1.387,正常,60.21,过高,金属铅;金属锌;盐湖提锂;金属铜;小金属概念;净水概念;污水处理;PPP概念;水利;京津冀一体化;专精特新;DeepSeek概念;融资融券,环保-环境治理-水务及水治理,首板涨停,1.0,12,3,True,4053513400.0,小盘,69530420.0,15.545,活跃,15.003, 09:33:24, 09:33:24,锑矿收购+盐湖提锂+小金属,7072700,147112160.0,23.346140641360506,极强,0.0,极好,14.469548406133601,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
301092,争光股份,41.02,20.01170275,涨停,4.18,活跃,52.349,偏高,盐湖提锂;核污染防治;净水概念;核电;超超临界发电;污水处理;稀土永磁;专精特新;减肥药;融资融券,基础化工-塑料制品-合成树脂,首板涨停,1.0,9,2,True,2489445700.0,微盘,100737108.0,19.169,活跃,20.48, 09:41:06, 10:05:36,盐湖提锂+吸附树脂+离子交换,563400,23110668.0,4.842870596503437,较弱,1.0,良好,14.281043982928912,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
300814,中富电路,75.78,20,涨停,2.004,活跃,390.607,严重高估,共封装光学(CPO);铜缆高速连接;PCB概念;华为数字能源;5G;毫米波雷达;先进封装;数据中心;MiniLED;汽车电子;华为概念;新能源汽车;华为汽车;一带一路;深股通;融资融券,电子-元件-印制电路板,首板涨停,1.0,14,2,True,14506575000.0,中盘,118538329.0,10.705,活跃,15.471, 13:48:15, 13:48:15,PCB+AI电源+数据中心+泰国工厂,2292650,173737017.0,11.188205860059806,较强,0.0,极好,13.6966709687097,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
002175,东方智造,5.12,10.107526882,涨停,0.941,偏低,3691.54,严重高估,物业管理;智能物流;物联网;西部大开发;工业互联网;新能源汽车;高端装备;芯片概念;深股通,机械设备-通用设备-仪器仪表,首板涨停,1.0,8,5,True,6537117300.0,小盘,291406579.5,10.788,活跃,11.183, 10:43:12, 10:43:12,拟收购+智能制造+智能物流+数显量具,25870040,132454604.8,18.782431316994895,较强,0.0,极好,12.465760631129164,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
600881,亚泰集团,2.18,10.101010101,涨停,1.162,偏低,-5.552,亏损,禽流感;物业管理;生物疫苗;创新药;体育产业;参股银行;水泥概念;医疗器械概念;国企改革;参股券商;煤炭概念;沪股通;融资融券;股权转让(并购重组),综合-综合-综合Ⅲ,首板涨停,1.0,12,2,True,7046089200.0,小盘,146689486.0,6.657,温和,8.081, 09:45:31, 10:34:01,创新药+人参产业+亏损缩窄,18610018,40569839.24,8.649769980947006,一般,2.0,良好,9.704864476043834,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
601279,英利汽车,5.78,10.095238095,涨停,0.676,极低,-128.316,亏损,海峡两岸;长安汽车概念;新能源汽车;锂电池概念;比亚迪概念;沪股通,汽车-汽车零部件-其他汽车零部件,2天2板,2.0,5,3,True,9165843000.0,小盘,45202831.9,2.498,低迷,1.905, 09:30:03, 09:30:03,轻量化零部件+锂电池概念+海峡两岸,19551300,113006514.0,49.34715032340931,极强,0.0,极好,8.114155615347034,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
002331,皖通科技,10.08,10.043668122,涨停,0.705,极低,-55.155,亏损,数字乡村;智慧政务;数字经济;数字孪生;智慧城市;区块链;华为鲲鹏;ETC;安防;鸿蒙概念;华为昇腾;DeepSeek概念;水利;华为概念;雄安新区;智能物流;无人驾驶;航运概念,计算机-IT服务-IT服务Ⅲ,首板涨停,1.0,18,4,True,3990120600.0,小盘,94065873.0,6.454,温和,7.969, 09:34:15, 09:34:15,实控人认购+智慧交通+华为合作,10410060,104933404.8,40.74594793472858,极强,0.0,极好,10.85270789376115,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
000859,国风新材,7.89,10.041841004,涨停,2.496,活跃,-80.817,亏损,光刻胶;国企改革;芯片概念;柔性屏(折叠屏);装配式建筑;新能源汽车;深股通;融资融券,基础化工-塑料制品-膜材料,2天2板,2.0,6,3,True,7068850400.0,小盘,61025627.8,8.175,温和,4.045, 09:25:00, 09:33:48,光刻胶+膜材料+国企改革,11826395,93310256.55,16.14667754908557,较强,2.0,良好,12.175366883662345,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
600996,贵广网络,10.52,10.041841004,涨停,1.469,正常,-12.064,亏损,算力租赁;东数西算(算力);数字乡村;智能家居;文化传媒概念;云计算;华为概念;数据中心;物联网;智能医疗;5G;人工智能;DeepSeek概念;旅游概念;西部大开发;国企改革;沪股通;融资融券,传媒-文化传媒-电视广播,首板涨停,1.0,16,7,True,13116334500.0,中盘,124523504.0,3.896,温和,10.146, 14:49:49, 14:49:49,广电5G+算力枢纽+贵州国资+国企改革,12059208,126862868.16,24.824629032692354,极强,0.0,极好,12.488466875940286,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
000838,财信发展,3.4,10.03236246,涨停,0.949,偏低,-150.436,亏损,租售同权;污水处理;固废处理;西部大开发;融资融券,房地产-房地产-住宅开发,首板涨停,1.0,4,2,True,3582803900.0,小盘,43647069.0,4.281,温和,12.945, 13:01:12, 13:01:12,房地产+保交楼+环保技改+控股股东重整,54309600,184652640.0,120.38543128270946,极强,0.0,极好,9.405379470003385,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
002205,国统股份,17.22,10.031948882,涨停,0.68,极低,-109.448,亏损,地下管网;新型城镇化;装配式建筑;水利;PPP概念;污水处理;雄安新区;高铁;新疆振兴;国企改革;西部大开发;央企国企改革;风电,建筑材料-建筑材料-水泥,首板涨停,1.0,13,4,True,3200220400.0,小盘,92959268.0,7.849,温和,12.524, 09:57:18, 09:57:18,PCCP+风电塔筒+央企+订单增长,6842195,117822597.9,46.9042500538129,极强,0.0,极好,11.1950719183395,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
002753,永东股份,8.23,10.026737968,涨停,1.396,正常,47.43,偏高,煤化工概念;石墨电极;锂电池概念,基础化工-橡胶制品-炭黑,首板涨停,1.0,3,1,True,1998308700.0,微盘,31667579.0,4.94,温和,10.027, 09:45:42, 09:45:42,锂电池概念+炭黑+针状焦,22815172,187768865.56,190.22110003411697,极强,0.0,极好,9.268496388343454,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
000798,中水渔业,13.72,10.024057739,涨停,2.316,活跃,70.489,过高,预制菜;参股保险;国企改革;央企国企改革;人工智能;中字头股票,农林牧渔-养殖业-海洋捕捞,5天5板,5.0,6,3,True,5019272800.0,小盘,-52926366.0,14.918,活跃,4.972, 09:25:00, 14:18:24,远洋渔业+国企改革+业绩增长+央企,6106594,83782469.68,11.189605006884987,较强,2.0,良好,13.853459999999998,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
603216,梦天家居,19,10.017371164,涨停,0.252,极低,56.362,偏高,参股银行;智能家居;芯片概念;工业互联网,轻工制造-家居用品-定制家居,2天2板,2.0,4,3,True,4231110000.0,小盘,10439835.0,0.272,低迷,0.0, 09:25:03, 09:25:03,终止筹划收购+复牌+智能家居+芯片概念,6986935,132751765.0,1152.8359169396022,极强,0.0,极好,8.205659529920815,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
002246,北化股份,20.21,10.016330974,涨停,1.32,正常,44.177,偏高,军民融合;核污染防治;军工;商业航天;专精特新;垃圾分类;核电;西部大开发;2025中报预增;国企改革;深股通;融资融券,基础化工-化学制品-民爆用品,首板涨停,1.0,10,3,True,11095993200.0,中盘,141438305.0,4.205,温和,9.581, 09:35:33, 09:35:33,三季报增长+硝化棉+军工,7192006,145350441.26,31.153387813309063,极强,0.0,极好,11.837276709935143,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
001390,古麒绒材,32.96,10.013351135,涨停,1.581,正常,35.664,偏高,参股银行;注册制次新股;专精特新;新股与次新股;融资融券,纺织服饰-纺织制造-其他纺织,2天2板,2.0,4,2,True,1615002000.0,微盘,26226980.0,58.807,异常,10.247, 13:57:03, 13:57:03,羽绒产品+军品羽绒+绿色工厂+募投扩产,1540994,50791162.24,5.347963790430772,一般,0.0,极好,12.738125,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
600343,航天动力,17.91,10.012285012,涨停,1.779,正常,-78.467,亏损,军民融合;商业航天;大飞机;央企国企改革;西部大开发;国企改革;氢能源;水利;煤化工概念;高端装备;沪股通;融资融券,机械设备-通用设备-其他通用设备,首板涨停,1.0,10,3,True,11430275700.0,中盘,187598342.0,6.783,温和,10.504, 10:03:51, 13:52:54,商业航天+氢能装备+液力传动+央企,2404368,43062230.88,5.554329790987954,一般,3.0,一般,12.18213431423739,D,49.0,20.0,43.659834035527375,"国企改革, 新能源汽车, 华为概念, 西部大开发, 芯片概念",20251120,False
