code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
000798,中水渔业,0.247729149,1.427577,16.123751,农林牧渔-养殖业-海洋捕捞,预制菜;央企国企改革;参股保险;人工智能;国企改革;中字头股票,6,4751065.0,13.5689425,4441251613.68
001216,华瓷股份,-0.295857988,1.213639,5.18783,轻工制造-家居用品-其他家居用品,NFT概念;跨境电商;牙科医疗;参股银行;人民币贬值受益;柔性直流输电;华为概念;特高压;智能穿戴;消费电子概念,10,4148784.0,6.492650833333333,4137571403.15
000048,京基智农,-0.369276219,1.545969,2.149007,农林牧渔-养殖业-生猪养殖,养鸡;猪肉;乡村振兴;文化传媒概念;物业管理;IP经济(谷子经济);粤港澳大湾区;融资融券;深股通,9,-20920804.7,5.716009927333333,7100591004.0
002069,獐子岛,-0.961538462,0.873581,5.92629,农林牧渔-养殖业-水产养殖,预制菜;乡村振兴;国企改革;冷链物流;碳中和;人民币贬值受益,6,-10524983.0,6.345312160000001,2926090719.28
