code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
002691,冀凯股份,-9.950248756218905,1.664302,12.717063,机械设备-专用设备-能源及重型设备,3D打印;机器人概念;京津冀一体化;中俄贸易概念;煤炭概念,5,-24394982.9,13.126696658,3040621760.25
002591,恒大高新,-9.977827050997787,3.970301,18.978673,基础化工-化学制品-其他化学制品,钠离子电池;固态电池;锂电池概念;垃圾分类;绿色电力;专精特新;军工;智慧城市;军民融合;腾讯概念;超超临界发电;百度概念;文化传媒概念;数据要素;阿里巴巴概念;拼多多概念;抖音概念(字节概念),17,-87069303.0,16.74138606,1814921191.44
002682,龙洲股份,-9.978991596638648,0.877256,26.574972,交通运输-物流-物流Ⅲ,海峡两岸;卫星导航;农村电商;军工;新疆振兴;垃圾分类;ETC;充电桩;网约车;污水处理;水利;冷链物流;统一大市场;燃料电池;航运概念;天然气;氢能源;智慧城市;职业教育;机器人概念;一带一路;新能源汽车;乡村振兴;储能;人工智能;国企改革;宁德时代概念;车联网(车路协同),28,-106329934.0,14.31973868,4819426862.58
002788,鹭燕医药,-9.987250318742037,0.652295,16.059085,医药生物-医药商业-医药流通,海峡两岸;福建自贸区;医药电商;冷链物流;医疗器械概念;养老概念;智能医疗;人工智能,8,-242848937.0,16.487716239999997,8086392705.18
002977,天箭科技,-9.992352791231188,0.162412,2.273485,国防军工-军工电子-军工电子Ⅲ,军工信息化;商业航天;卫星导航;军工;西部大开发;第三代半导体,6,-14967344.0,2.2210335466666664,2352358202.7
600506,统一股份,-9.993131868131869,1.712754,22.906335,石油石化-石油加工贸易-石油加工,汽车热管理;燃料电池;充电桩;农机;新疆振兴;碳中和;高压快充;新能源汽车;高铁;宁德时代概念;储能;机器人概念;风电;乡村振兴;绿色电力;液冷服务器;数据中心;无人机;西部大开发;国企改革;人工智能;央企国企改革;芯片概念;股权转让(并购重组),24,-79164944.0,15.86518388,5032816260.14
