code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
000505,京粮控股,2.516556291,1.173372,9.356304,农林牧渔-农产品加工-粮油加工,粮食概念;海南自贸区;网红经济;国企改革;京津冀一体化;一带一路;融资融券,7,12411694.0,9.170966,4894623800.64
000798,中水渔业,0.247729149,0.624983,16.123751,农林牧渔-养殖业-海洋捕捞,预制菜;央企国企改革;参股保险;人工智能;国企改革;中字头股票,6,4751065.0,11.5624575,4441251613.68
002474,榕基软件,-0.99009901,1.442004,32.357088,计算机-IT服务-IT服务Ⅲ,Web3.0;云办公;华为鲲鹏;智慧政务;在线教育;军工信息化;数据安全;信创;网络安全;区块链;数据要素;鸿蒙概念;核污染防治;数字经济;安防;虚拟现实;福建自贸区;智慧城市;人工智能;海峡两岸;华为概念;军工;物联网;电力物联网;物业管理;智能电网;融资融券,27,-36609358.0,14.33719716,5838425395.0
