code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600815,厦工股份,-9.87654321,0.603,8.624,机械设备-工程机械-工程机械Ⅲ,海峡两岸;福建自贸区;地下管网;职业教育;中俄贸易概念;国企改革;智能物流;高端装备;军工,9,-67729636.0,8.611426053333334,6475444900.0
600340,华夏幸福,-9.904153355,0.531,8.836,房地产-房地产-产业地产,特色小镇;京津冀一体化;新型城镇化;雄安新区;智慧城市;PPP概念;人工智能;DeepSeek概念;低空经济;机器人概念;沪股通;融资融券;股权转让(并购重组),13,-120139651.0,9.620959686666668,10979261300.0
002682,龙洲股份,-9.921259843,1.032,18.958,交通运输-物流-物流Ⅲ,海峡两岸;网约车;职业教育;智慧城市;ETC;垃圾分类;人工智能;水利;污水处理;冷链物流;乡村振兴;农村电商;统一大市场;车联网(车路协同);新疆振兴;航运概念;卫星导航;充电桩;一带一路;天然气;机器人概念;国企改革;军工;商业航天;新能源汽车;储能;燃料电池;氢能源;宁德时代概念,29,-38041554.4,13.340831088,3216700300.0
002512,达华智能,-9.929078014,0.552,13.036,计算机-计算机设备-其他计算机设备,海峡两岸;福建自贸区;数字乡村;乡村振兴;商业航天;智慧政务;卫星导航;智慧城市;一带一路;在线教育;数字经济;华为鲲鹏;互联网金融;数据要素;物联网;虚拟数字人;6G概念;5G;人工智能;鸿蒙概念;机器人概念;消费电子概念;小米概念;深股通;融资融券,25,-123392627.0,12.538519206666669,5559815100.0
000632,三木集团,-9.932885906,0.33,9.829,综合-综合-综合Ⅲ,特色小镇;海峡两岸;福建自贸区;物业管理;旅游概念;露营经济;跨境电商;国企改革;创投,9,-74311327.0,8.863893206666667,3123381600.0
003016,欣贺股份,-9.948186528,0.732,5.42,纺织服饰-服装家纺-服装,海峡两岸;福建自贸区;跨境电商;流感;数字经济;数据要素;智能物流;腾讯概念;2025中报预增,9,-2840920.0,5.500151733333333,3570571900.0
002513,蓝丰生化,-9.955257271,0.619,16.518,基础化工-农化制品-农药,染料;TOPCON电池;生态农业;绿色电力;光伏概念;人民币贬值受益,6,-31628391.0,12.18006782,2134827100.0
000155,川能动力,-9.964412811,0.726,3.921,公用事业-电力-新能源发电,盐湖提锂;磷化工;小金属概念;锂电池概念;西部大开发;绿色电力;储能;固废处理;风电;国企改革;回购增持再贷款概念;深股通;融资融券,13,-132899167.0,7.08698334,23354030000.0
002691,冀凯股份,-9.970384995,0.654,11.032,机械设备-专用设备-能源及重型设备,京津冀一体化;中俄贸易概念;机器人概念;3D打印;煤炭概念,5,-19280534.5,9.375277356666667,3064140400.0
002077,大港股份,-9.973190349,1.063,11.996,电子-半导体-集成电路封测,存储芯片;汽车芯片;先进封装;芯片概念;汽车电子;创投;国企改革;锂电池概念;固废处理;融资融券;深股通,11,-128761095.0,13.230055233333331,9744051500.0
605399,晨光新材,-9.973614776,0.292,3.173,基础化工-化学制品-有机硅,有机硅概念;硅能源;专精特新;融资融券,4,-29757236.6,3.440478065333333,5315168000.0
000417,合百集团,-9.974424552,1.261,10.199,商贸零售-零售-百货零售,啤酒概念;冷链物流;统一大市场;农村电商;乡村振兴;国企改革;参股银行;养老概念;黄金概念;跨境电商;创投;证金持股;互联网金融;充电桩;人工智能;虚拟数字人;融资融券,17,-105522666.0,12.062286653333333,5484353300.0
601969,海南矿业,-9.977324263,0.602,3.402,钢铁-钢铁-冶钢原料,海南自贸区;氟化工概念;金属钴;自由贸易港;金属铜;小金属概念;锂电池概念;黄金概念;旅游概念;天然气;碳中和;土壤修复;固废处理;参股银行;乡村振兴;回购增持再贷款概念;参股保险;创投;沪股通;融资融券,20,-80988830.0,5.3927765999999995,23609863000.0
603906,龙蟠科技,-9.978655283,0.943,6.999,电力设备-电池-电池化学品,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;储能;燃料电池;比亚迪概念;氢能源;无人机;数据中心;数字经济;液冷服务器;融资融券;沪股通,15,-19011489.0,7.403729779999999,9532881100.0
002846,英联股份,-9.978991597,0.5,8.718,轻工制造-包装印刷-包装,固态电池;PET铜箔;锂电池概念;新能源汽车;宠物经济;专精特新;2025中报预增;2025三季报预增,8,-32897873.0,7.71995746,4405290200.0
002083,孚日股份,-9.980430528,1.168,20.944,纺织服饰-纺织制造-棉纺,氟化工概念;托育服务;三胎概念;硅能源;中俄贸易概念;国企改革;锂电池概念;创投;一带一路;回购增持再贷款概念;高铁;人民币贬值受益;海工装备;军民融合;新能源汽车;军工,16,4233101.0,12.92,8706194700.0
600319,亚星化学,-9.980806142,0.898,4.145,基础化工-化学原料-氯碱,钒电池;国企改革;储能,3,8986873.2,5.008333333333333,3636714000.0
000688,国城矿业,-9.983136594,0.056,0.331,有色金属-工业金属-铅锌,钛白粉概念;金属铅;金属锌;小金属概念;金属铜;黄金概念;锂电池概念;西部大开发;2025中报预增;深股通;股权转让(并购重组);融资融券,12,-28795281.0,0.9365722866666667,30501703000.0
002497,雅化集团,-9.988109394,0.247,2.676,基础化工-化学制品-民爆用品,固态电池;锂电池概念;宁德时代概念;民爆概念;军民融合;军工;比亚迪概念;西部大开发;雅下水电概念;2025三季报预增;特斯拉概念;工业互联网;机器人概念;深股通;融资融券,15,-50670218.0,3.4149043599999995,24039701000.0
