code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
920857,泓禧科技,37.66,29.996548153261987,涨停,5.082,异常活跃,-245.093,亏损,安防;机器人概念;西部大开发;融资融券;消费电子概念;小米概念,电子-消费电子-消费电子零部件及组装,首板涨停,1,5,2,True,2787109300.0,微盘,,6.648,温和,23.024, 13:04:55, 13:04:55,消费电子+机器人概念+客户结构优化,1386721,52223912.86,28.185649703228933,极强,0,极好,11.66256,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
920665,科强股份,19.95,29.967426710097715,涨停,2.555,活跃,60.687,过高,海峡两岸;高铁;融资融券;商业航天;光伏概念;专精特新;PCB概念,基础化工-橡胶制品-其他橡胶制品,首板涨停,1,6,4,True,1278229780.0,微盘,,34.914,异常,32.182, 10:31:01, 14:17:19,商业航天+特种橡胶+光伏,410927,8197993.65,1.8369463830179855,较弱,14,极差,14.149999999999999,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
300118,东方日升,13.37,20.017953321364438,涨停,3.003,活跃,-12.25,亏损,TOPCON电池;HJT电池;硅能源;钙钛矿电池;光伏概念;光伏建筑一体化;储能;绿色电力;共同富裕示范区;乡村振兴;华为概念;深股通;融资融券,电力设备-光伏设备-光伏电池组件,首板涨停,1,11,4,True,12391664700.0,中盘,529214840.0,19.257,活跃,10.682, 10:19:18, 10:19:18,异质结电池+光伏设备+储能,6059143,81010741.91,3.394890583337022,较弱,0,极好,15.538278918426542,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
688720,艾森股份,67.43,20.003559352197918,涨停,4.248,活跃,129.282,严重高估,国家大基金持股;中芯国际概念;光刻胶;存储芯片;先进封装;OLED;芯片概念;PCB概念;专精特新;回购增持再贷款概念;融资融券,电子-半导体-半导体材料,首板涨停,1,10,3,True,3801994800.0,小盘,104773747.0,25.53,激烈,16.871, 10:05:38, 11:17:41,HBM+光刻胶+存储芯片+先进封装,606799,40916456.57,4.215448686206151,较弱,3,一般,14.889539293277332,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
300423,昇辉科技,10.26,19.99999999999999,涨停,3.518,活跃,591.797,严重高估,智慧灯杆;锂电池概念;水利;氢能源;光热发电;虚拟电厂;智能电网;储能;燃料电池;光伏概念;风电;专精特新;智慧城市;冷链物流;安防;智慧政务;智能家居;商业航天;数据中心;可控核聚变;股权转让(并购重组),电力设备-电网设备-输变电设备,首板涨停,1,21,5,True,3420278600.0,小盘,67534393.0,35.212,异常,17.193, 09:34:57, 14:56:39,可控核聚变+氢能+锂电池,547370,5616016.2,0.46630689665915226,极弱,1,良好,16.45,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
300997,欢乐家,27.74,19.982698961937707,涨停,0.803,偏低,864.615,严重高估,乳业;广东自贸区;网红经济;拼多多概念;乡村振兴;参股银行;创投;粤港澳大湾区;深股通;融资融券,食品饮料-饮料制造-软饮料,首板涨停,1,8,2,True,10707841300.0,中盘,160430272.0,5.201,温和,14.057, 09:39:39, 09:39:39,椰子汁+零食渠道+越南印尼项目+网红经济,4514777,125239913.98,22.490507067673366,极强,0,极好,9.379243735936939,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
601778,晶科科技,3.71,10.089020771513349,涨停,4.071,活跃,27.935,合理,光伏建筑一体化;光伏概念;风电;虚拟电厂;储能;碳交易;氢能源;碳中和;绿色电力;数据中心;阿里巴巴概念;腾讯概念;沪股通;融资融券,公用事业-电力-新能源发电,首板涨停,1,12,3,True,13248387600.0,中盘,325633070.0,7.024,温和,9.199, 10:11:41, 10:29:50,储能+光伏+国补+海外,25389100,94193561.0,10.121570752361269,较强,1,良好,13.18226611165976,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
002374,中锐股份,4.04,10.081743869209813,涨停,0.818,偏低,-34.819,亏损,白酒概念;PPP概念;海峡两岸;污水处理;融资融券,轻工制造-包装印刷-包装,2天2板,2,4,1,True,4384245500.0,小盘,68832516.0,9.327,温和,7.629, 09:31:18, 09:31:36,海峡两岸+防伪瓶盖+化债预期+回购,15564800,62881792.0,15.377055076211402,较强,1,良好,7.696065,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
002697,红旗连锁,6.23,10.070671378091877,涨停,2.316,活跃,16.607,合理,乡村振兴;养老概念;参股银行;无人零售;国企改革;西部大开发;腾讯概念;机器人概念;深股通;融资融券,商贸零售-零售-百货零售,首板涨停,1,8,4,True,7132742600.0,小盘,205628861.0,17.947,活跃,10.247, 11:10:42, 14:56:18,零售+便利超市+四川国资,762500,4750375.0,0.37109330609484137,极弱,7,较差,14.12869923414127,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
600408,安泰集团,5.03,10.065645514223194,涨停,0.944,偏低,-24.372,亏损,煤炭概念;煤化工概念;碳中和;氢能源,煤炭-煤炭开采加工-焦炭加工,首板涨停,1,4,0,False,5064204000.0,小盘,260264545.0,13.156,活跃,11.379, 09:46:01, 09:46:01,焦炭+型钢+减亏+循环经济,19395280,97558258.4,14.643054114518387,较强,0,极好,8.39331154767017,E,63.0,23.0,52.630302997101694,"国企改革, 光伏概念, 西部大开发, 商业航天, 乡村振兴",20251215,False
