code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
300726,宏达电子,52.85,20.004541326067216,涨停,4.276,活跃,49.886,偏高,超级电容;华为海思概念股;芯片概念;5G;大飞机;传感器;军工;华为概念;海工装备;深股通;融资融券,国防军工-军工电子-军工电子Ⅲ,首板涨停,1,9,3,True,11333070700.0,中盘,269953020.0,19.593,活跃,18.96, 14:06:27, 14:06:27,钽电容龙头+航天应用+参股IPO+AI服务器,2613400,138118190.0,6.220166128941469,一般,0,极好,15.241859999999999,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
301123,奕东电子,72.53,20.00330906684316,涨停,1.389,正常,445.015,严重高估,共封装光学(CPO);铜缆高速连接;液冷服务器;PCB概念;新型烟草(电子烟);消费电子概念;宁德时代概念;小米概念;汽车电子;比亚迪概念;锂电池概念;新能源汽车;储能;深股通;融资融券,电子-消费电子-消费电子零部件及组装,首板涨停,1,13,6,True,11970469900.0,中盘,215621890.0,23.963,激烈,23.544, 13:46:12, 14:55:48,液冷+AI服务器+CPO+FPC,172000,12475160.0,0.4349016569778416,极弱,4,一般,13.554509999999999,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
688376,美埃科技,64.2,20.000000000000004,涨停,3.904,活跃,46.216,偏高,光刻机;中芯国际概念;PM2.5;芯片概念;沪股通;融资融券,环保-环保设备-环保设备Ⅲ,首板涨停,1,4,2,True,8681512400.0,小盘,91194667.0,6.895,温和,19.776, 09:45:07, 14:41:22,中芯国际概念+光刻机概念+洁净室+过滤器,273402,17552408.4,2.932255106473115,较弱,6,较差,10.616899999999998,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
300414,中光防雷,15.54,20.0,涨停,3.539,活跃,221.756,严重高估,商业航天;军工;水利;无人机;西部大开发;高铁;光刻机;风电;专精特新;华为概念;数据中心;光伏概念;5G;新能源汽车;高压快充;液冷服务器;融资融券,通信-通信设备-其他通信设备,首板涨停,1,16,7,True,4872234100.0,小盘,368418665.0,24.641,激烈,21.158, 09:51:36, 10:30:57,液冷服务器+商业航天+防雷龙头+光刻机SPD,4843400,75266436.0,6.269377416675814,一般,1,良好,16.527440047845218,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
300990,同飞股份,93.0,20.0,涨停,1.997,正常,65.93,过高,液冷服务器;宁德时代概念;数据中心;储能;换电概念;新能源汽车;氢能源;光刻机;专精特新;芯片概念;高端装备;深股通;融资融券,机械设备-通用设备-制冷空调设备,首板涨停,1,11,6,True,7172437600.0,小盘,148400690.0,14.412,活跃,18.839, 09:56:18, 10:10:06,液冷服务器+三季报分红+半导体+储能,558326,51924318.0,5.023305143074307,一般,1,良好,15.081248130039059,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
002330,得利斯,5.57,10.079051383399225,涨停,2.175,活跃,491.14,严重高估,预制菜;猪肉;网红经济;宠物经济;乡村振兴;冷链物流;绿色电力;回购增持再贷款概念,食品饮料-食品加工制造-肉制品,首板涨停,1,8,1,True,3537945400.0,小盘,64450712.0,7.892,温和,10.277, 13:24:06, 13:24:06,预制菜+回购增持+宾得利股权转让+肉制品龙头,6270300,34925571.0,12.50846250761768,较强,0,极好,10.770865,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
600179,安通控股,4.92,10.067114093959736,涨停,2.808,活跃,23.52,合理,自由贸易港;海峡两岸;航运概念;统一大市场;中俄贸易概念;一带一路;宁德时代概念;2025中报预增;区块链;沪股通;融资融券,交通运输-港口航运-航运,2天2板,2,9,2,True,19002410000.0,中盘,26375913.0,4.252,温和,2.685, 09:25:00, 11:13:57,海南自贸区+集装箱物流+中外运增持+注册地迁闽,6964959,34267598.28,4.24108025242766,较弱,3,一般,9.971065,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
000036,华联控股,6.13,10.053859964093348,涨停,0.212,极低,180.867,严重高估,物业管理;碳中和;盐湖提锂;深股通;融资融券,房地产-房地产-住宅开发,3天2板,1,3,0,False,8589055500.0,小盘,59670677.0,1.506,低迷,0.0, 09:25:00, 09:25:00,盐湖提锂+新能源转型+城市更新+房地产,63851230,391408039.9,302.5082353141832,极强,0,极好,3.5941191924318963,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
000566,海南海药,8.76,10.050251256281406,涨停,2.989,活跃,-35.177,亏损,海南自贸区;民营医院;仿制药一致性评价;肝炎概念;流感;创新药;参股银行;猴痘概念;创投;医疗器械概念;国企改革;央企国企改革;深股通;融资融券,医药生物-化学制药-化学制剂,3天3板,3,12,1,True,10213237900.0,中盘,247601010.0,29.426,激烈,4.523, 09:30:51, 14:45:36,海南自贸港+创新药+央企,6762200,59236872.0,1.971056581000626,较弱,8,较差,11.603895000000001,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
600550,保变电气,11.17,10.049261083743838,涨停,2.105,活跃,105.715,严重高估,柔性直流输电;可控核聚变;抽水蓄能;特高压;核电;超超临界发电;智能电网;虚拟电厂;央企国企改革;海峡两岸;国企改革;乡村振兴;雄安新区;2025中报预增;京津冀一体化;股权转让(并购重组);沪股通;融资融券,电力设备-电网设备-输变电设备,首板涨停,1,16,3,True,20569873000.0,中盘,441740554.0,11.301,活跃,11.724, 14:41:46, 14:41:46,特高压+核电+央企+海峡两岸,26282372,293574095.24,12.628697966369709,较强,0,极好,15.43500743223754,E,68.0,15.0,52.670965316304574,"芯片概念, 军工, 新能源汽车, 一带一路, 海峡两岸",20251223,False
