code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600734,实达集团,-9.918699187,0.849,28.245,计算机-IT服务-IT服务Ⅲ,智慧政务;国资云;AI智能体;数据要素;阿里巴巴概念;算力租赁;华为鲲鹏;区块链;职业教育;云计算;福建自贸区;数字经济;数据安全;海峡两岸;智慧城市;DeepSeek概念;国产操作系统;人工智能;安防;东数西算(算力);创投;华为概念;物联网;国企改革;无人机;机器人概念;虚拟电厂;人形机器人;沪股通,29,-472782780.0,21.5781556,12065306200.0
002702,海欣食品,-9.958506224,1.659,46.698,食品饮料-食品加工制造-预加工食品,人造肉;预制菜;海峡两岸;福建自贸区,4,-337994535.0,20.9073907,3981895800.0
002564,天沃科技,-9.966024915,2.178,5.717,机械设备-专用设备-能源及重型设备,上海国企改革;光热发电;军民融合;军工;海工装备;国企改革;核电;碳中和;煤化工概念;一带一路;光伏概念;氢能源;风电;高端装备;摘帽,15,-145470332.0,11.720739973333334,6828290600.0
000859,国风新材,-9.978308026,0.911,21.433,基础化工-塑料制品-膜材料,光刻胶;装配式建筑;国企改革;柔性屏(折叠屏);芯片概念;新能源汽车;雄安新区;一带一路;深股通;融资融券,10,-51449050.0,13.306481,7436179700.0
002686,亿利达,-9.987669544,2.766,18.976,机械设备-通用设备-制冷空调设备,化债概念(AMC概念);水利;国企改革;海工装备;长安汽车概念;专精特新;军工;阿里巴巴概念;新能源汽车;高压快充;数据中心;汽车电子,12,-120075024.3,17.401500486,3815948000.0
002596,海南瑞泽,-10,0.789,18.202,建筑材料-建筑材料-水泥,海南自贸区;自由贸易港;特色小镇;旅游概念;新型城镇化;水泥概念;PPP概念;装配式建筑;垃圾分类;雄安新区;水利;固废处理;一带一路;融资融券,14,-22430591.0,12.42111182,6603985500.0
002451,摩恩电气,-10.008779631,0.992,17.179,电力设备-电网设备-线缆部件及其他,物业管理;智能电网;充电桩;储能;光伏概念;化债概念(AMC概念);高铁;创投;风电;上海自贸区;海工装备;智慧城市;高端装备;机器人概念;5G;融资融券,16,-74688900.1,13.973778002,4501277300.0
605108,同庆楼,-10.012463648,1.984,10.841,社会服务-旅游及酒店-餐饮,预制菜;网红经济;沪股通,3,-103171631.0,14.250765953333332,5631600000.0
000798,中水渔业,-10.016025641,0.777,15.192,农林牧渔-养殖业-海洋捕捞,预制菜;央企国企改革;人工智能;参股保险;国企改革;中字头股票,6,-34221000.0,12.62692,4108340700.0
000735,罗牛山,-10.020661157,1.465,16.916,农林牧渔-养殖业-生猪养殖,海南自贸区;统一大市场;生态农业;动物疫苗;乡村振兴;冷链物流;职业教育;宠物经济;猪肉;养鸡;深股通;自由贸易港;融资融券,13,-220597632.0,18.07445264,10024317400.0
600829,人民同泰,-10.02073255,1.019,11.215,医药生物-医药商业-医药流通,民营医院;医药电商;流感;冷链物流;眼科医疗;黑龙江自贸区;宠物经济;医疗器械概念,8,-49212068.0,11.008408026666666,7550149500.0
002632,道明光学,-10.024154589,2.188,24.361,基础化工-塑料制品-膜材料,石墨烯;固态电池;锂电池概念;消费电子概念;AI手机;新能源汽车;光伏概念;安防;液冷服务器;中俄贸易概念;华为概念;虚拟现实;共同富裕示范区;元宇宙;AI眼镜;深股通,16,-299088196.0,20.98176392,8670101600.0
002084,海鸥住工,-10.058027079,1.247,20.541,轻工制造-家居用品-其他家居用品,装配式建筑;空气能热泵;一带一路;海峡两岸;智能家居;人民币贬值受益;物联网;回购增持再贷款概念;3D打印,9,-65481484.0,14.42712968,2997550200.0
