code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
300946,恒而达,58.6,20.008191685,涨停,13.203,异常活跃,155.643,严重高估,人形机器人;新型工业化;工业母机;机器人概念;跨境电商;海峡两岸;高端装备;专精特新;融资融券,机械设备-通用设备-金属制品,首板涨停,1,8,7,True,4442132000.0,小盘,86839091.0,16.567,活跃,17.612, 10:28:42, 14:30:42,人形机器人+行星丝杠+数控装备+滚动部件,381580,22360588.0,3.0383512417801564,较弱,3,一般,14.481339999999998,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
300250,初灵信息,31.86,20,涨停,2.302,活跃,862.001,严重高估,云办公;WiFi 6;F5G概念;Web3.0;华为鲲鹏;数字乡村;东数西算(算力);数据安全;智慧政务;网络安全;信创;智能家居;虚拟现实;华为概念;5G;鸿蒙概念;物联网;6G概念;AI智能体;工业互联网;数字经济;共同富裕示范区;人工智能;卫星导航,计算机-IT服务-IT服务Ⅲ,首板涨停,1,24,4,True,5023495100.0,小盘,244341848.0,35.23,异常,16.384, 11:18:00, 11:18:00,间接投资摩尔线程+6G星地融合+算力+三季报扭亏,2892803,92164703.58,5.207698997470376,一般,0,极好,17.185357900145572,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
300885,海昌新材,25.57,19.990614735,涨停,2.206,活跃,111.694,严重高估,人形机器人;机器人概念;低空经济;新能源汽车;一带一路;专精特新;人民币贬值受益;充电桩;消费电子概念;商业航天;融资融券,机械设备-通用设备-金属制品,首板涨停,1,10,7,True,4270644500.0,小盘,177163749.0,18.655,活跃,19.662, 10:59:51, 10:59:51,人形机器人+拟收购信为通讯+商业航天+粉末冶金,3583987,91642547.59,11.502896419925541,较强,0,极好,15.38186592301491,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
301510,固高科技,40.58,19.988172679,涨停,3.008,活跃,272.864,严重高估,工业母机;新型工业化;传感器;机器视觉;机器人概念;先进封装;高端装备;专精特新;工业互联网;芯片概念;物联网;智能物流;粤港澳大湾区;职业教育;创投;污水处理;深股通;融资融券,机械设备-自动化设备-工控设备,首板涨停,1,16,7,True,11328282800.0,中盘,356356000.0,23.811,激烈,11.177, 09:35:18, 14:53:39,机器人+先进封装+三季报增长,367531,14914407.98,0.5529264553098142,极弱,6,较差,14.948149533533886,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
300095,华伍股份,11.24,19.957310566,涨停,7.751,异常活跃,85.94,过高,成飞概念;大飞机;航空发动机;军工;无人机;高端装备;海工装备;水利;机器人概念;新型工业化;风电;减速器;新能源汽车;一带一路;人形机器人;回购增持再贷款概念;商业航天,机械设备-专用设备-能源及重型设备,首板涨停,1,17,8,True,3807292400.0,小盘,352309795.0,32.119,异常,19.637, 09:48:09, 10:08:36,人形机器人+工业制动器+商业航天+三季报增长,11182171,125687602.04,10.278089959339296,较强,3,一般,16.29456568414776,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
002512,达华智能,6.33,10.086956522,涨停,0.762,极低,-51.506,亏损,海峡两岸;福建自贸区;乡村振兴;数字乡村;智慧政务;商业航天;一带一路;智慧城市;6G概念;5G;卫星导航;数字经济;互联网金融;在线教育;物联网;华为鲲鹏;消费电子概念;数据要素;人工智能;虚拟数字人;小米概念;鸿蒙概念;机器人概念;深股通;融资融券,计算机-计算机设备-其他计算机设备,首板涨停,1,23,6,True,6927879800.0,小盘,527945089.0,15.448,活跃,12.0, 09:55:51, 09:59:00,商业航天+卫星通信+显示主板+一带一路,15415400,97579482.0,9.117868654284827,一般,1,良好,14.554329574253135,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
002344,海宁皮城,5.36,10.061601643,涨停,4.679,活跃,86.324,过高,特色小镇;参股银行;民营医院;养老概念;跨境电商;国企改革;网红经济;创投;长三角一体化;互联网金融;小红书概念;深股通;融资融券;光伏建筑一体化;股权转让(并购重组),商贸零售-零售-商业物业经营,首板涨停,1,13,3,True,6868572500.0,小盘,103545231.0,7.723,温和,11.499, 10:51:39, 10:52:51,皮革市场+间接参投宇树、智元+电商直播+国企改革,7145900,38302024.0,7.220262786081151,一般,2,良好,13.486435,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
002300,太阳电缆,9.42,10.046728972,涨停,0.438,极低,60.032,过高,特高压;海峡两岸;核电;充电桩;风电;光伏概念;海工装备;军工;融资融券,电力设备-电网设备-线缆部件及其他,3天3板,3,8,3,True,6803785400.0,小盘,45356358.0,2.085,低迷,0.0, 09:25:00, 09:25:00,福建算力政策+海底电缆+海峡两岸+军工,21387606,201471248.52,142.02640645455105,极强,0,极好,8.03226855248857,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
600678,四川金顶,12.16,10.045248869,涨停,0.849,偏低,99.281,过高,西部大开发;商业航天;国企改革;氢能源;充电桩;工业互联网;DeepSeek概念;区块链;新能源汽车;无人驾驶;机器人概念;人形机器人,建筑材料-建筑材料-水泥,首板涨停,1,12,7,True,4243718400.0,小盘,375483874.0,19.234,活跃,12.308, 09:45:18, 09:45:18,人形机器人+商业航天+石灰石+国企改革,11562150,140595744.0,17.224608423078806,较强,0,极好,13.7181836581839,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
600635,大众公用,8.22,10.040160643,涨停,1.451,正常,35.019,偏高,污水处理;天然气;独角兽概念;创投;新能源汽车;绿色电力;充电桩;2025中报预增;互联网金融;高压快充;沪股通;融资融券,公用事业-燃气-燃气Ⅲ,首板涨停,1,10,3,True,19882468000.0,中盘,256024438.0,15.67,活跃,6.426, 13:45:26, 14:09:38,间接投资摩尔线程+燃气+充电桩+业绩高增,2322411,19090218.42,0.6127258428453355,极弱,6,较差,12.331399999999999,E,39.0,26.0,37.013182053416116,"机器人概念, 新能源汽车, 商业航天, 人形机器人, 人工智能",20251204,False
