code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,首次涨停时间,最终涨停时间,最终涨停时间,涨停封单量,涨停封单额,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
002702,海欣食品,8.76,10.050251256,涨停,0.426978,极低,-97.307,亏损,人造肉;预制菜;海峡两岸;福建自贸区,食品饮料-食品加工制造-预加工食品,5天5板,4,0,False,4018595300.0,小盘,-150132496.0,8.265095,温和,0.167224, 09:30:24, 09:30:15, 10:05:27, 09:30:15,9129564,79974980.64,1,良好,3.9999244000000003,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
603113,金能科技,6.92,10.015898251,涨停,5.684144,异常活跃,-52.956,亏损,煤化工概念;煤炭概念;氢能源;沪股通;融资融券,基础化工-化学原料-其他化学原料,首板涨停,3,0,False,5871555100.0,小盘,104652269.4,5.202442,温和,10.135135, 13:49:47, 11:00:47, 13:49:47, 14:22:11,5933632,41060733.44,0,极好,8.56061779395593,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
002792,通宇通讯,28.78,10.01529052,涨停,1.518536,正常,336.7726,严重高估,6G概念;铜缆高速连接;F5G概念;卫星导航;商业航天;WiFi 6;共封装光学(CPO);5G;毫米波雷达;消费电子概念;汽车电子;华为概念;低空经济;虚拟电厂;无人驾驶;换电概念;储能;一带一路;中俄贸易概念;华为汽车;深股通;融资融券,通信-通信设备-通信网络设备及器件,4天4板,20,1,True,9595367300.0,小盘,53446961.46,17.285856,活跃,10.687022, 09:25:00, 11:21:34, 09:25:00, 11:21:34,23575093,678491176.54,0,极好,12.995474400621648,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
002632,道明光学,15.05,10.014619883,涨停,1.770368,正常,29.5095,合理,石墨烯;固态电池;锂电池概念;消费电子概念;AI手机;新能源汽车;光伏概念;安防;液冷服务器;中俄贸易概念;华为概念;虚拟现实;共同富裕示范区;元宇宙;深股通,基础化工-塑料制品-膜材料,4天4板,14,1,True,8757384500.0,小盘,57654639.0,4.870805,温和,3.015564, 09:25:00, 09:30:15, 09:25:00, 09:30:15,36420967,548135553.35,0,极好,9.595518367482509,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
003018,金富科技,24.83,10.013291981,涨停,0.401238,极低,38.9222,偏高,,轻工制造-包装印刷-包装,7天7板,0,0,False,2432816700.0,微盘,1877370.0,5.377549,温和,0.0, 09:30:12, 09:30:00, 09:30:12, 09:30:00,5467400,135755542.0,0,极好,3.0858462799999997,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
603933,睿能科技,27.85,9.992101106,涨停,2.614726,活跃,79.9555,过高,海峡两岸;智能家居;福建自贸区;物联网;消费电子概念;新型工业化;数字经济;汽车电子;存储芯片;机器人概念;无人机;工业母机;工业互联网;MCU芯片;人形机器人;芯片概念;新能源汽车,电子-其他电子-其他电子Ⅲ,4天4板,17,1,True,5780116400.0,小盘,-124362793.0,8.323222,温和,10.299527, 09:38:43, 09:38:16, 13:12:16, 09:47:31,1096516,30537970.6,1,良好,11.368549715,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
600828,茂业商业,6.53,9.932659933,涨停,0.261733,极低,174.001,严重高估,物业管理;信托概念;西部大开发;沪股通,商贸零售-零售-百货零售,6天5板,3,0,False,11305782000.0,中盘,270000541.0,0.422267,低迷,0.0, 09:40:40, 09:30:00, 09:41:40, 09:30:00,10293340,67215510.2,1,良好,2.0292853634152914,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
000078,海王生物,4.11,9.893048128,涨停,9.564725,异常活跃,237.234,严重高估,仿制药一致性评价;流感;冷链物流;创新药;维生素;医疗器械概念;粤港澳大湾区;深股通;融资融券;医药电商,医药生物-医药商业-医药流通,5天5板,8,0,False,10794673100.0,中盘,191201250.0,15.657315,活跃,7.473309, 09:32:24, 10:45:15, 09:33:54, 13:32:19,29020705,119275097.55,1,良好,10.594797298415292,E,63.0,14.0,61.809910213271124,消费电子概念,20251127,False
