日期,指数代码,指数名称,成交额(元),涨跌幅(%),主力净流入(元),较上一交易日成交额(元),近三交易日成交额(元),近三日大单净额(元)
20251118,886102.TI,中国AI 50,,,,,,
20251118,000020.SH,中型综指,,,,,,
20251118,885741.TI,中字头股票,,,,,,
20251118,399005.SZ,中小100,,,,,,
20251118,399333.SZ,中小100R,,,,,,
20251118,399008.SZ,中小300,,,,,,
20251118,399015.SZ,中小创新,,,,,,
20251118,399623.SZ,中小基础,,,,,,
20251118,399101.SZ,中小综指,,,,,,
20251118,885860.TI,中船系,,,,,,
20251118,885897.TI,中芯国际概念,,,,,,
20251118,881141.TI,中药,,,,,,
20251118,399852.SZ,中证1000,,,,,,
20251118,000904.CSI,中证200,,,,,,
20251118,399905.SZ,中证500,,,,,,
20251118,000907.CSI,中证700,,,,,,
20251118,000906.SH,中证800,,,,,,
20251118,399903.SZ,中证A100,,,,,,
20251118,930903.CSI,中证A股,,,,,,
20251118,000961.CSI,中证上游,,,,,,
20251118,399971.SZ,中证传媒,,,,,,
20251118,000985.CSI,中证全指,,,,,,
20251118,399967.SZ,中证军工,,,,,,
20251118,000902.CSI,中证流通,,,,,,
20251118,000827.SH,中证环保,,,,,,
20251118,000922.CSI,中证红利,,,,,,
20251118,000980.CSI,中证超大,,,,,,
20251118,399986.SZ,中证银行,,,,,,
20251118,885591.TI,中韩自贸区,,,,,,
20251118,885587.TI,举牌,,,,,,
20251118,399103.SZ,乐富指数,,,,,,
20251118,884099.TI,乘用车,,,,,,
20251118,885705.TI,乡村振兴,,,,,,
20251118,885462.TI,乳业,,,,,,
20251118,884125.TI,乳品,,,,,,
20251118,885881.TI,云办公,,,,,,
20251118,882032.TI,云南,,,,,,
20251118,885874.TI,云游戏,,,,,,
20251118,885362.TI,云计算,,,,,,
20251118,885767.TI,互联网保险,,,,,,
20251118,881177.TI,互联网电商,,,,,,
20251118,885456.TI,互联网金融,,,,,,
20251118,884203.TI,产业地产,,,,,,
