日期,指数代码,指数名称,成交额(元),涨跌幅(%),主力净流入(元),较上一交易日成交额(元),近三交易日成交额(元),近三日大单净额(元)
20251118,886059.TI,智能座舱,,,,,,
20251118,885770.TI,智能物流,,,,,,
20251118,885311.TI,智能电网,,,,,,
20251118,885454.TI,智能穿戴,,,,,,
20251118,885771.TI,智能音箱,,,,,,
20251118,886090.TI,智谱AI,,,,,,
20251118,883410.TI,最近多板,,,,,,
20251118,884211.TI,有机硅,,,,,,
20251118,885912.TI,有机硅概念,,,,,,
20251118,000819.SH,有色金属,,,,,,
20251118,884234.TI,服装,,,,,,
20251118,881136.TI,服装家纺,,,,,,
20251118,885570.TI,期货概念,,,,,,
20251118,884218.TI,机器人,,,,,,
20251118,885517.TI,机器人概念,,,,,,
20251118,886002.TI,机器视觉,,,,,,
20251118,884156.TI,机场,,,,,,
20251118,881151.TI,机场航运,,,,,,
20251118,884069.TI,机床工具,,,,,,
20251118,883967.TI,机构周调研前十,,,,,,
20251118,883966.TI,机构月调研前十,,,,,,
20251118,883990.TI,机构重仓股,,,,,,
20251118,884004.TI,林业,,,,,,
20251118,884009.TI,果蔬加工,,,,,,
20251118,885633.TI,染料,,,,,,
20251118,885809.TI,柔性屏(折叠屏),,,,,,
20251118,885948.TI,柔性直流输电,,,,,,
20251118,HKSPGEM.HK,标普香港创业板指数,,,,,,
20251118,886052.TI,核污染防治,,,,,,
20251118,885571.TI,核电,,,,,,
20251118,884128.TI,棉纺,,,,,,
20251118,884083.TI,楼宇设备,,,,,,
20251118,884288.TI,模拟芯片设计,,,,,,
20251118,884296.TI,横向通用软件,,,,,,
20251118,885827.TI,横琴新区,,,,,,
20251118,881266.TI,橡胶制品,,,,,,
20251118,885997.TI,比亚迪概念,,,,,,
20251118,885985.TI,毛发医疗,,,,,,
20251118,886035.TI,毫米波雷达,,,,,,
20251118,885960.TI,民爆概念,,,,,,
20251118,884032.TI,民爆用品,,,,,,
20251118,885490.TI,民营医院,,,,,,
20251118,884036.TI,氟化工,,,,,,
20251118,885551.TI,氟化工概念,,,,,,
20251118,885823.TI,氢能源,,,,,,
20251118,884045.TI,氨纶,,,,,,
20251118,884026.TI,氮肥,,,,,,
20251118,884023.TI,氯碱,,,,,,
20251118,884006.TI,水产养殖,,,,,,
20251118,884279.TI,水产饲料,,,,,,
20251118,885572.TI,水利,,,,,,
20251118,884268.TI,水务及水治理,,,,,,
20251118,884060.TI,水泥,,,,,,
20251118,885782.TI,水泥概念,,,,,,
20251118,884147.TI,水电,,,,,,
20251118,399234.SZ,水电指数,,,,,,
20251118,882017.TI,江苏,,,,,,
20251118,882018.TI,江西,,,,,,
20251118,885412.TI,污水处理,,,,,,
20251118,885902.TI,汽车拆解概念,,,,,,
20251118,881125.TI,汽车整车,,,,,,
20251118,884107.TI,汽车服务,,,,,,
20251118,881128.TI,汽车服务及其他,,,,,,
20251118,885999.TI,汽车热管理,,,,,,
20251118,885545.TI,汽车电子,,,,,,
20251118,884293.TI,汽车电子电气系统,,,,,,
20251118,885945.TI,汽车芯片,,,,,,
20251118,881126.TI,汽车零部件,,,,,,
20251118,000061.SH,沪企债30,,,,,,
20251118,399300.SZ,沪深300,,,,,,
20251118,883423.TI,沪深主板昨日涨停,,,,,,
20251118,885520.TI,沪股通,,,,,,
20251118,883908.TI,沪股通成交前十,,,,,,
20251118,882012.TI,河北,,,,,,
20251118,882013.TI,河南,,,,,,
20251118,884021.TI,油品石化贸易,,,,,,
20251118,884018.TI,油服工程,,,,,,
20251118,884016.TI,油气开采,,,,,,
20251118,881107.TI,油气开采及服务,,,,,,
20251118,885905.TI,注册制次新股,,,,,,
20251118,885879.TI,流感,,,,,,
20251118,882033.TI,浙江,,,,,,
20251118,882026.TI,浦东,,,,,,
20251118,882011.TI,海南,,,,,,
20251118,885894.TI,海南自贸区,,,,,,
20251118,885939.TI,海峡两岸,,,,,,
20251118,885426.TI,海工装备,,,,,,
20251118,884005.TI,海洋捕捞,,,,,,
20251118,884030.TI,涂料油墨,,,,,,
20251118,885882.TI,消毒剂,,,,,,
20251118,883434.TI,消费,,,,,,
20251118,000069.SH,消费80,,,,,,
20251118,881124.TI,消费电子,,,,,,
20251118,885800.TI,消费电子概念,,,,,,
20251118,884098.TI,消费电子零部件及组装,,,,,,
20251118,884041.TI,涤纶,,,,,,
20251118,886044.TI,液冷服务器,,,,,,
20251118,399750.SZ,深主板50,,,,,,
20251118,882007.TI,深圳,,,,,,
20251118,885697.TI,深圳国企改革,,,,,,
20251118,883985.TI,深市新主板,,,,,,
20251118,399013.SZ,深市精选,,,,,,
20251118,399002.SZ,深成指R,,,,,,
20251118,399672.SZ,深红利50,,,,,,
20251118,885694.TI,深股通,,,,,,
20251118,883912.TI,深股通成交前十,,,,,,
20251118,399330.SZ,深证100,,,,,,
20251118,399011.SZ,深证1000,,,,,,
20251118,399004.SZ,深证100R,,,,,,
20251118,399009.SZ,深证200,,,,,,
20251118,399679.SZ,深证200R,,,,,,
20251118,399007.SZ,深证300,,,,,,
20251118,399344.SZ,深证300R,,,,,,
20251118,399850.SZ,深证50,,,,,,
20251118,399010.SZ,深证700,,,,,,
20251118,399107.SZ,深证A指,,,,,,
20251118,399108.SZ,深证B指,,,,,,
20251118,399306.SZ,深证ETF,,,,,,
20251118,399702.SZ,深证F120,,,,,,
20251118,399703.SZ,深证F200,,,,,,
20251118,399701.SZ,深证F60,,,,,,
20251118,399348.SZ,深证价值,,,,,,
20251118,399016.SZ,深证创新,,,,,,
20251118,399001.SZ,深证成指,,,,,,
20251118,399337.SZ,深证民营,,,,,,
20251118,399106.SZ,深证综指,,,,,,
20251118,884153.TI,港口,,,,,,
20251118,881148.TI,港口航运,,,,,,
20251118,881275.TI,游戏,,,,,,
20251118,882014.TI,湖北,,,,,,
20251118,882015.TI,湖南,,,,,,
20251118,884220.TI,激光设备,,,,,,
20251118,884146.TI,火电,,,,,,
20251118,884051.TI,炭黑,,,,,,
20251118,885851.TI,烟草,,,,,,
20251118,884149.TI,热力,,,,,,
20251118,884015.TI,焦炭加工,,,,,,
20251118,884281.TI,煤化工,,,,,,
20251118,885398.TI,煤化工概念,,,,,,
20251118,884014.TI,煤炭开采,,,,,,
20251118,881105.TI,煤炭开采加工,,,,,,
20251118,885914.TI,煤炭概念,,,,,,
20251118,885775.TI,燃料电池,,,,,,
20251118,881146.TI,燃气,,,,,,
20251118,885926.TI,牙科医疗,,,,,,
20251118,885915.TI,物业管理,,,,,,
20251118,881152.TI,物流,,,,,,
20251118,885312.TI,物联网,,,,,,
20251118,885467.TI,特斯拉概念,,,,,,
20251118,885750.TI,特色小镇,,,,,,
20251118,884184.TI,特钢,,,,,,
20251118,885428.TI,特钢概念,,,,,,
20251118,885425.TI,特高压,,,,,,
20251118,885787.TI,独角兽概念,,,,,,
20251118,885573.TI,猪肉,,,,,,
20251118,885994.TI,猴痘概念,,,,,,
20251118,885811.TI,玉米,,,,,,
20251118,881284.TI,环保设备,,,,,,
20251118,881181.TI,环境治理,,,,,,
20251118,885903.TI,环氧丙烷,,,,,,
20251118,884059.TI,玻璃玻纤,,,,,,
20251118,883419.TI,珠海,,,,,,
20251118,884237.TI,瓷砖地板,,,,,,
20251118,882006.TI,甘肃,,,,,,
20251118,885505.TI,生态农业,,,,,,
20251118,881142.TI,生物制品,,,,,,
20251118,885845.TI,生物疫苗,,,,,,
20251118,886005.TI,生物质能发电,,,,,,
20251118,884275.TI,生猪养殖,,,,,,
20251118,884313.TI,电信运营商,,,,,,
20251118,881145.TI,电力,,,,,,
20251118,885819.TI,电力物联网,,,,,,
20251118,881172.TI,电子化学品,,,,,,
20251118,885737.TI,电子竞技,,,,,,
20251118,885953.TI,电子纸,,,,,,
20251118,885975.TI,电子身份证,,,,,,
20251118,881277.TI,电机,,,,,,
20251118,884086.TI,电气自控设备,,,,,,
20251118,881281.TI,电池,,,,,,
20251118,884310.TI,电池化学品,,,,,,
20251118,881278.TI,电网设备,,,,,,
20251118,884246.TI,电能综合服务,,,,,,
20251118,884172.TI,电视广播,,,,,,
20251118,884278.TI,畜禽饲料,,,,,,
20251118,884239.TI,疫苗,,,,,,
20251118,881131.TI,白色家电,,,,,,
20251118,881273.TI,白酒,,,,,,
20251118,885525.TI,白酒概念,,,,,,
20251118,883916.TI,百元股,,,,,,
20251118,885797.TI,百度概念,,,,,,
20251118,883416.TI,百日新高,,,,,,
20251118,884160.TI,百货零售,,,,,,
20251118,885922.TI,盐湖提锂,,,,,,
20251118,885838.TI,眼科医疗,,,,,,
20251118,885791.TI,知识产权保护,,,,,,
20251118,886060.TI,短剧游戏,,,,,,
20251118,885355.TI,石墨烯,,,,,,
20251118,885781.TI,石墨电极,,,,,,
20251118,884020.TI,石油加工,,,,,,
20251118,881180.TI,石油加工贸易,,,,,,
20251118,883930.TI,破净股,,,,,,
20251118,883965.TI,破发次新股,,,,,,
20251118,884302.TI,硅料硅片,,,,,,
20251118,885958.TI,硅能源,,,,,,
20251118,885919.TI,碳中和,,,,,,
20251118,885986.TI,碳交易,,,,,,
20251118,885650.TI,碳纤维,,,,,,
20251118,884057.TI,磁性材料,,,,,,
20251118,884071.TI,磨具磨料,,,,,,
20251118,885863.TI,磷化工,,,,,,
20251118,884027.TI,磷肥及磷化工,,,,,,
20251118,883407.TI,社保新进,,,,,,
20251118,883922.TI,社保重仓,,,,,,
20251118,882005.TI,福建,,,,,,
20251118,885617.TI,福建自贸区,,,,,,
20251118,885508.TI,禽流感,,,,,,
20251118,884001.TI,种子生产,,,,,,
20251118,881101.TI,种植业与林业,,,,,,
20251118,000698.SH,科创100,,,,,,
20251118,000699.SH,科创200,,,,,,
20251118,000688.SH,科创50,,,,,,
20251118,N00688.CSI,科创50(净),,,,,,
20251118,000681.SH,科创价格,,,,,,
20251118,885907.TI,科创次新股,,,,,,
20251118,000680.SH,科创综指,,,,,,
20251118,883432.TI,科技(TMT),,,,,,
20251118,H30318.CSI,科技传媒通信150,,,,,,
20251118,399243.SZ,科研指数,,,,,,
20251118,885758.TI,租售同权,,,,,,
20251118,885333.TI,移动支付,,,,,,
20251118,884215.TI,稀土,,,,,,
20251118,885343.TI,稀土永磁,,,,,,
20251118,886010.TI,空气能热泵,,,,,,
20251118,884113.TI,空调,,,,,,
20251118,886049.TI,空间计算,,,,,,
20251118,885908.TI,第三代半导体,,,,,,
20251118,000971.CSI,等权90,,,,,,
20251118,886050.TI,算力租赁,,,,,,
20251118,884064.TI,管材,,,,,,
20251118,884043.TI,粘胶,,,,,,
20251118,885521.TI,粤港澳大湾区,,,,,,
20251118,884010.TI,粮油加工,,,,,,
20251118,885995.TI,粮食概念,,,,,,
20251118,884002.TI,粮食种植,,,,,,
20251118,000015.SH,红利指数,,,,,,
20251118,883438.TI,红利破净股,,,,,,
20251118,884022.TI,纯碱,,,,,,
20251118,IXIC.GI,纳斯达克综指,,,,,,
20251118,881135.TI,纺织制造,,,,,,
20251118,884033.TI,纺织化学用品,,,,,,
20251118,884076.TI,纺织服装设备,,,,,,
20251118,884089.TI,线缆部件及其他,,,,,,
20251118,000814.SH,细分医药,,,,,,
20251118,885769.TI,细胞免疫治疗,,,,,,
20251118,000860.CSI,结构调整,,,,,,
20251118,885988.TI,统一大市场,,,,,,
20251118,886081.TI,维生素,,,,,,
20251118,399249.SZ,综企指数,,,,,,
20251118,881165.TI,综合,,,,,,
20251118,000008.SH,综合指数,,,,,,
20251118,884270.TI,综合环境治理,,,,,,
20251118,885936.TI,绿色电力,,,,,,
20251118,885876.TI,网红经济,,,,,,
20251118,885753.TI,网约车,,,,,,
20251118,885459.TI,网络安全,,,,,,
20251118,885603.TI,网络游戏,,,,,,
20251118,881182.TI,美容护理,,,,,,
20251118,884063.TI,耐火材料,,,,,,
20251118,885586.TI,职业教育,,,,,,
20251118,884039.TI,聚氨酯,,,,,,
20251118,884123.TI,肉制品,,,,,,
20251118,884276.TI,肉鸡养殖,,,,,,
20251118,885989.TI,肝炎概念,,,,,,
20251118,883925.TI,股东户数减少,,,,,,
20251118,883933.TI,股东户数增加,,,,,,
20251118,884250.TI,股份制银行,,,,,,
20251118,883938.TI,股性不活跃,,,,,,
20251118,883932.TI,股权分散,,,,,,
20251118,885739.TI,股权转让(并购重组),,,,,,
20251118,884080.TI,能源及重型设备,,,,,,
20251118,881267.TI,能源金属,,,,,,
20251118,886047.TI,脑机接口,,,,,,
20251118,885779.TI,腾讯概念,,,,,,
20251118,884213.TI,膜材料,,,,,,
20251118,881171.TI,自动化设备,,,,,,
20251118,884164.TI,自然景点,,,,,,
20251118,885764.TI,自由贸易港,,,,,,
20251118,884180.TI,航天装备,,,,,,
20251118,884183.TI,航海装备,,,,,,
20251118,885884.TI,航空发动机,,,,,,
20251118,884181.TI,航空装备,,,,,,
20251118,884157.TI,航空运输,,,,,,
20251118,884191.TI,航运,,,,,,
20251118,885733.TI,航运概念,,,,,,
20251118,885805.TI,芬太尼,,,,,,
20251118,885756.TI,芯片概念,,,,,,
20251118,886048.TI,英伟达概念,,,,,,
20251118,885376.TI,苹果概念,,,,,,
20251118,885640.TI,草甘膦,,,,,,
20251118,884300.TI,药店,,,,,,
20251118,885950.TI,虚拟数字人,,,,,,
20251118,885709.TI,虚拟现实,,,,,,
20251118,886004.TI,虚拟电厂,,,,,,
20251118,885749.TI,蚂蚁集团概念,,,,,,
20251118,883969.TI,融资盘高持仓,,,,,,
20251118,885338.TI,融资融券,,,,,,
20251118,886028.TI,血氧仪,,,,,,
20251118,884238.TI,血液制品,,,,,,
20251118,883917.TI,行业龙头,,,,,,
20251118,884093.TI,被动元件,,,,,,
20251118,885760.TI,装配式建筑,,,,,,
20251118,884065.TI,装饰园林,,,,,,
20251118,882030.TI,西藏,,,,,,
20251118,886086.TI,西部大开发,,,,,,
20251118,881130.TI,计算机设备,,,,,,
20251118,881157.TI,证券,,,,,,
20251118,399975.SZ,证券公司,,,,,,
20251118,885663.TI,证金持股,,,,,,
20251118,885772.TI,语音技术,,,,,,
20251118,884124.TI,调味发酵品,,,,,,
20251118,886080.TI,财税数字化,,,,,,
20251118,000048.SH,责任指数,,,,,,
20251118,882010.TI,贵州,,,,,,
20251118,881169.TI,贵金属,,,,,,
20251118,881159.TI,贸易,,,,,,
20251118,885792.TI,赛马概念,,,,,,
20251118,000043.SH,超大盘,,,,,,
20251118,886038.TI,超导概念,,,,,,
20251118,885761.TI,超级品牌,,,,,,
20251118,885886.TI,超级电容,,,,,,
20251118,885996.TI,超超临界发电,,,,,,
20251118,883975.TI,超跌股,,,,,,
20251118,885580.TI,足球概念,,,,,,
20251118,885966.TI,跨境支付(CIPS),,,,,,
20251118,885642.TI,跨境电商,,,,,,
20251118,885662.TI,车联网(车路协同),,,,,,
20251118,884289.TI,车身附件及饰件,,,,,,
20251118,881269.TI,轨交设备,,,,,,
20251118,885877.TI,转基因,,,,,,
20251118,884291.TI,轮胎轮毂,,,,,,
20251118,881272.TI,软件开发,,,,,,
20251118,884120.TI,软饮料,,,,,,
20251118,885909.TI,辅助生殖,,,,,,
20251118,884131.TI,辅料,,,,,,
20251118,884088.TI,输变电设备,,,,,,
20251118,882019.TI,辽宁,,,,,,
20251118,399237.SZ,运输指数,,,,,,
20251118,883919.TI,近期复牌,,,,,,
20251118,883959.TI,近期并购,,,,,,
20251118,883968.TI,近期异动,,,,,,
20251118,883409.TI,近期强势,,,,,,
20251118,883408.TI,近期新高,,,,,,
20251118,883920.TI,近期解禁,,,,,,
20251118,883907.TI,近端次新股,,,,,,
20251118,883974.TI,远端次新股,,,,,,
20251118,884304.TI,逆变器,,,,,,
20251118,884314.TI,通信工程及服务,,,,,,
20251118,884315.TI,通信应用增值服务,,,,,,
20251118,881162.TI,通信服务,,,,,,
20251118,884263.TI,通信线缆及配套,,,,,,
20251118,884264.TI,通信终端及配件,,,,,,
20251118,884262.TI,通信网络设备及器件,,,,,,
20251118,881129.TI,通信设备,,,,,,
20251118,881117.TI,通用设备,,,,,,
20251118,881137.TI,造纸,,,,,,
20251118,884167.TI,酒店,,,,,,
20251118,399232.SZ,采矿指数,,,,,,
20251118,882003.TI,重庆,,,,,,
20251118,885955.TI,重组蛋白,,,,,,
20251118,885730.TI,量子科技,,,,,,
20251118,884075.TI,金属制品,,,,,,
20251118,885972.TI,金属回收,,,,,,
20251118,881114.TI,金属新材料,,,,,,
20251118,885865.TI,金属钴,,,,,,
20251118,885971.TI,金属铅,,,,,,
20251118,885973.TI,金属铜,,,,,,
20251118,885970.TI,金属锌,,,,,,
20251118,885969.TI,金属镍,,,,,,
20251118,883431.TI,金融地产,,,,,,
20251118,399240.SZ,金融指数,,,,,,
20251118,399699.SZ,金融科技,,,,,,
20251118,886003.TI,钒电池,,,,,,
20251118,886006.TI,钙钛矿电池,,,,,,
20251118,884209.TI,钛白粉,,,,,,
20251118,885652.TI,钛白粉概念,,,,,,
20251118,885928.TI,钠离子电池,,,,,,
20251118,881112.TI,钢铁,,,,,,
20251118,884282.TI,钨,,,,,,
20251118,884284.TI,钴,,,,,,
20251118,884283.TI,钼,,,,,,
20251118,884031.TI,钾肥,,,,,,
20251118,884155.TI,铁路运输,,,,,,
20251118,884055.TI,铅锌,,,,,,
20251118,884054.TI,铜,,,,,,
20251118,886073.TI,铜缆高速连接,,,,,,
20251118,884053.TI,铝,,,,,,
20251118,000959.CSI,银河99,,,,,,
20251118,881155.TI,银行,,,,,,
20251118,884286.TI,锂,,,,,,
20251118,884311.TI,锂电专用设备,,,,,,
20251118,884309.TI,锂电池,,,,,,
20251118,885710.TI,锂电池概念,,,,,,
20251118,884285.TI,镍,,,,,,
20251118,885832.TI,长三角一体化,,,,,,
20251118,886061.TI,长安汽车概念,,,,,,
20251118,886056.TI,阿尔茨海默概念,,,,,,
20251118,885611.TI,阿里巴巴概念,,,,,,
20251118,882025.TI,陕西,,,,,,
20251118,885744.TI,雄安新区,,,,,,
20251118,886105.TI,雅下水电概念,,,,,,
20251118,884227.TI,集成电路制造,,,,,,
20251118,884228.TI,集成电路封测,,,,,,
20251118,881158.TI,零售,,,,,,
20251118,885990.TI,露营经济,,,,,,
20251118,882022.TI,青海,,,,,,
20251118,885852.TI,青蒿素,,,,,,
20251118,000064.SH,非周期,,,,,,
20251118,881167.TI,非金属材料,,,,,,
20251118,884094.TI,面板,,,,,,
20251118,884136.TI,鞋帽及其他,,,,,,
20251118,885372.TI,页岩气,,,,,,
20251118,885951.TI,预制菜,,,,,,
20251118,884297.TI,预加工食品,,,,,,
20251118,885641.TI,风电,,,,,,
20251118,884307.TI,风电整机,,,,,,
20251118,881280.TI,风电设备,,,,,,
20251118,884308.TI,风电零部件,,,,,,
20251118,886066.TI,飞行汽车(eVTOL),,,,,,
20251118,881134.TI,食品加工制造,,,,,,
20251118,884210.TI,食品及饲料添加剂,,,,,,
20251118,885406.TI,食品安全,,,,,,
20251118,884168.TI,餐饮,,,,,,
20251118,399238.SZ,餐饮指数,,,,,,
20251118,881133.TI,饮料制造,,,,,,
20251118,884141.TI,饰品,,,,,,
20251118,883441.TI,高ROE股,,,,,,
20251118,886001.TI,高压快充,,,,,,
20251118,886018.TI,高压氧舱,,,,,,
20251118,883976.TI,高商誉,,,,,,
20251118,883414.TI,高市净率,,,,,,
20251118,883412.TI,高市盈率,,,,,,
20251118,883439.TI,高应收账款股,,,,,,
20251118,883440.TI,高成长股,,,,,,
20251118,883970.TI,高毅持股(财报汇总),,,,,,
20251118,883937.TI,高比例质押,,,,,,
20251118,885427.TI,高端装备,,,,,,
20251118,886072.TI,高股息精选,,,,,,
20251118,883927.TI,高股息股,,,,,,
20251118,883926.TI,高贝塔值,,,,,,
20251118,883405.TI,高送转,,,,,,
20251118,884154.TI,高速公路,,,,,,
20251118,885562.TI,高铁,,,,,,
20251118,885923.TI,鸿蒙概念,,,,,,
20251118,885530.TI,黄金概念,,,,,,
20251118,881132.TI,黑色家电,,,,,,
20251118,882004.TI,黑龙江,,,,,,
20251118,885849.TI,黑龙江自贸区,,,,,,
20251118,883913.TI,龙虎榜指数,,,,,,
20251119,000029.SH,180价值,,,,,,
20251119,000028.SH,180成长,,,,,,
20251119,000021.SH,180治理,,,,,,
20251119,000018.SH,180金融,,,,,,
20251119,886106.TI,2025三季报预增,,,,,,
20251119,886104.TI,2025中报预增,,,,,,
20251119,000919.CSI,300价值,,,,,,
20251119,000915.CSI,300信息,,,,,,
20251119,000917.CSI,300公用,,,,,,
20251119,399913.SZ,300医药,,,,,,
20251119,000911.CSI,300可选,,,,,,
20251119,000910.CSI,300工业,,,,,,
20251119,000918.CSI,300成长,,,,,,
20251119,000909.CSI,300材料,,,,,,
20251119,000912.CSI,300消费,,,,,,
20251119,000908.CSI,300能源,,,,,,
20251119,000916.CSI,300通信,,,,,,
20251119,399914.SZ,300金融,,,,,,
20251119,000849.SH,300非银,,,,,,
20251119,885537.TI,3D打印,,,,,,
20251119,000858.SH,500信息,,,,,,
20251119,000857.SH,500医药,,,,,,
20251119,000854.SH,500原料,,,,,,
20251119,000856.SH,500工业,,,,,,
20251119,000802.SH,500沪市,,,,,,
20251119,000050.SH,50等权,,,,,,
20251119,885556.TI,5G,,,,,,
20251119,886037.TI,6G概念,,,,,,
20251119,399935.SZ,800信息,,,,,,
20251119,000937.CSI,800公用,,,,,,
20251119,399933.SZ,800医卫,,,,,,
20251119,000931.CSI,800可选,,,,,,
20251119,000930.CSI,800工业,,,,,,
20251119,000929.CSI,800材料,,,,,,
20251119,399932.SZ,800消费,,,,,,
20251119,399928.SZ,800能源,,,,,,
20251119,000936.CSI,800通信,,,,,,
20251119,399934.SZ,800金地,,,,,,
20251119,886071.TI,AI PC,,,,,,
20251119,886019.TI,AIGC概念,,,,,,
20251119,886070.TI,AI手机,,,,,,
20251119,886099.TI,AI智能体,,,,,,
20251119,886085.TI,AI眼镜,,,,,,
20251119,886074.TI,AI语料,,,,,,
20251119,000002.SH,A股指数,,,,,,
20251119,886053.TI,BC电池,,,,,,
20251119,000003.SH,B股指数,,,,,,
20251119,885888.TI,C2M概念,,,,,,
20251119,885927.TI,CRO概念,,,,,,
20251119,930701.CSI,CS京津冀,,,,,,
20251119,886031.TI,ChatGPT概念,,,,,,
20251119,885947.TI,DRG/DIP,,,,,,
20251119,886100.TI,DeepSeek概念,,,,,,
20251119,885943.TI,EDR概念,,,,,,
20251119,886039.TI,ERP概念,,,,,,
20251119,885861.TI,ETC,,,,,,
20251119,885998.TI,F5G概念,,,,,,
20251119,885878.TI,HJT电池,,,,,,
20251119,886095.TI,IP经济(谷子经济),,,,,,
20251119,399239.SZ,IT指数,,,,,,
20251119,881271.TI,IT服务,,,,,,
20251119,884095.TI,LED,,,,,,
20251119,885925.TI,MCU芯片,,,,,,
20251119,886040.TI,MLOps概念,,,,,,
20251119,886046.TI,MR(混合现实),,,,,,
20251119,704843.MSI,MSCI中国A股国际,,,,,,
20251119,885987.TI,MicroLED概念,,,,,,
20251119,885875.TI,MiniLED,,,,,,
20251119,885933.TI,NFT概念,,,,,,
20251119,885900.TI,NMN概念,,,,,,
20251119,885738.TI,OLED,,,,,,
20251119,885959.TI,PCB概念,,,,,,
20251119,886063.TI,PEEK材料,,,,,,
20251119,886020.TI,PET铜箔,,,,,,
20251119,885555.TI,PM2.5,,,,,,
20251119,886026.TI,POE胶膜,,,,,,
20251119,885690.TI,PPP概念,,,,,,
20251119,885931.TI,PVDF概念,,,,,,
20251119,883924.TI,QFII重仓,,,,,,
20251119,399017.SZ,SME创新,,,,,,
20251119,885699.TI,ST板块,,,,,,
20251119,886068.TI,Sora概念(文生视频),,,,,,
20251119,399610.SZ,TMT50,,,,,,
20251119,886007.TI,TOPCON电池,,,,,,
20251119,886017.TI,Web3.0,,,,,,
20251119,885940.TI,WiFi6,,,,,,
20251119,886000.TI,一体化压铸,,,,,,
20251119,883437.TI,一元股,,,,,,
20251119,885494.TI,一带一路,,,,,,
20251119,885540.TI,三胎概念,,,,,,
20251119,883984.TI,上市首五日,,,,,,
20251119,882027.TI,上海(除浦东),,,,,,
20251119,950096.CSI,上海国企,,,,,,
20251119,885493.TI,上海国企改革,,,,,,
20251119,950082.CSI,上海改革,,,,,,
20251119,885472.TI,上海自贸区,,,,,,
20251119,000132.SH,上证100,,,,,,
20251119,000133.SH,上证150,,,,,,
20251119,000010.SH,上证180,,,,,,
20251119,000009.SH,上证380,,,,,,
20251119,000016.SH,上证50,,,,,,
20251119,950580.SH,上证580,,,,,,
20251119,000094.SH,上证上游,,,,,,
20251119,000096.SH,上证下游,,,,,,
20251119,000046.SH,上证中小,,,,,,
20251119,000095.SH,上证中游,,,,,,
20251119,000044.SH,上证中盘,,,,,,
20251119,000047.SH,上证全指,,,,,,
20251119,000037.SH,上证医药,,,,,,
20251119,000063.SH,上证周期,,,,,,
20251119,000066.SH,上证商品,,,,,,
20251119,000056.SH,上证国企,,,,,,
20251119,000055.SH,上证地企,,,,,,
20251119,000042.SH,上证央企,,,,,,
20251119,000045.SH,上证小盘,,,,,,
20251119,000001.SH,上证指数,,,,,,
20251119,991001.TI,上证指数(旧),,,,,,
20251119,000888.SH,上证收益,,,,,,
20251119,000067.SH,上证新兴,,,,,,
20251119,000049.SH,上证民企,,,,,,
20251119,000062.SH,上证沪企,,,,,,
20251119,000090.SH,上证流通,,,,,,
20251119,000054.SH,上证海外,,,,,,
20251119,000036.SH,上证消费,,,,,,
20251119,000068.SH,上证资源,,,,,,
20251119,000038.SH,上证金融,,,,,,
20251119,000065.SH,上证龙头,,,,,,
20251119,884068.TI,专业工程,,,,,,
20251119,884257.TI,专业服务,,,,,,
20251119,884161.TI,专业连锁,,,,,,
20251119,881118.TI,专用设备,,,,,,
20251119,885929.TI,专精特新,,,,,,
20251119,885829.TI,丙烯酸,,,,,,
20251119,883936.TI,业绩扭亏,,,,,,
20251119,883935.TI,业绩预亏,,,,,,
20251119,885957.TI,东数西算(算力),,,,,,
20251119,885974.TI,两轮车,,,,,,
20251119,884271.TI,个护用品,,,,,,
20251119,885965.TI,中俄贸易概念,,,,,,
20251119,399422.SZ,中关村A,,,,,,
20251119,399612.SZ,中创100,,,,,,
20251119,399611.SZ,中创100R,,,,,,
20251119,399624.SZ,中创400,,,,,,
20251119,399625.SZ,中创500,,,,,,
20251119,886102.TI,中国AI 50,,,,,,
20251119,000020.SH,中型综指,,,,,,
20251119,885741.TI,中字头股票,,,,,,
20251119,399005.SZ,中小100,,,,,,
20251119,399333.SZ,中小100R,,,,,,
20251119,399008.SZ,中小300,,,,,,
20251119,399015.SZ,中小创新,,,,,,
20251119,399623.SZ,中小基础,,,,,,
20251119,399101.SZ,中小综指,,,,,,
20251119,885860.TI,中船系,,,,,,
20251119,885897.TI,中芯国际概念,,,,,,
20251119,881141.TI,中药,,,,,,
20251119,399852.SZ,中证1000,,,,,,
20251119,000904.CSI,中证200,,,,,,
20251119,399905.SZ,中证500,,,,,,
20251119,000907.CSI,中证700,,,,,,
20251119,000906.SH,中证800,,,,,,
20251119,399903.SZ,中证A100,,,,,,
20251119,930903.CSI,中证A股,,,,,,
20251119,000961.CSI,中证上游,,,,,,
20251119,399971.SZ,中证传媒,,,,,,
20251119,000985.CSI,中证全指,,,,,,
20251119,399967.SZ,中证军工,,,,,,
20251119,000902.CSI,中证流通,,,,,,
20251119,000827.SH,中证环保,,,,,,
20251119,000922.CSI,中证红利,,,,,,
20251119,000980.CSI,中证超大,,,,,,
20251119,399986.SZ,中证银行,,,,,,
20251119,885591.TI,中韩自贸区,,,,,,
20251119,885587.TI,举牌,,,,,,
20251119,399103.SZ,乐富指数,,,,,,
20251119,884099.TI,乘用车,,,,,,
20251119,885705.TI,乡村振兴,,,,,,
20251119,885462.TI,乳业,,,,,,
20251119,884125.TI,乳品,,,,,,
