code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600200,退市苏吴,-8.571428571428564,1.567,5.738,医药生物-化学制药-化学制剂,,1,-2749814.89,7.797829631133333,227481430.0
600800,渤海化学,-9.900990099009901,0.127,0.612,石油石化-石油加工贸易-石油加工,天津自贸区;丙烯酸;氢能源;环氧丙烷;国企改革;芯片概念;融资融券,7,-14417585.0,1.0138517,5049272500.0
600730,中国高科,-9.993714644877436,0.289,2.635,社会服务-教育-教育Ⅲ,化债概念(AMC概念);职业教育;在线教育;物业管理;参股券商;人工智能;DeepSeek概念;创投;信创;融资融券;沪股通;股权转让(并购重组),12,-87315886.0,4.2254843866666665,8400913900.0
603585,苏利股份,-9.999999999999993,1.302,7.231,基础化工-农化制品-农药,2025中报预增,1,-64106602.0,9.357798706666667,3683876400.0
600250,南京商旅,-9.999999999999995,0.545,9.067,社会服务-旅游及酒店-旅游综合,股权转让(并购重组);IP经济(谷子经济);旅游概念;跨境电商;养老概念;低空经济;国企改革,7,-41195488.0,8.231076426666668,4081203600.0
603829,洛凯股份,-10.013131976362445,1.001,4.108,电力设备-电网设备-输变电设备,储能;智能电网;光伏概念,3,-56785172.0,6.376870106666666,5105555400.0
001330,博纳影业,-10.029791459781526,0.29,3.845,传媒-影视院线-影视院线Ⅲ,短剧游戏;Sora概念(文生视频);文化传媒概念;IP经济(谷子经济);抖音概念(字节概念);AIGC概念;腾讯概念;阿里巴巴概念;西部大开发;新疆振兴;深股通,11,-142841803.1,6.145169395333333,12453142000.0
300736,百邦科技,-20.02012072434607,1.789,13.203,电子-其他电子-其他电子Ⅲ,区块链;华为概念;苹果概念,3,-67312612.0,14.62075224,1988871200.0
