code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600200,退市苏吴,-9.756097561,0.522,5.492,医药生物-化学制药-化学制剂,,1,-838035.92,4.9830940517333335,263025410.0
001330,博纳影业,-9.962546816,0.53,8.247,传媒-影视院线-影视院线Ⅲ,短剧游戏;IP经济(谷子经济);文化传媒概念;Sora概念(文生视频);抖音概念(字节概念);AIGC概念;腾讯概念;阿里巴巴概念;新疆振兴;西部大开发;深股通,11,-447611234.0,15.77522468,16521718000.0
002836,新宏泽,-9.988452656,0.652,3.476,轻工制造-包装印刷-包装,烟草,1,-10601461.0,4.159362553333333,3591936000.0
002812,恩捷股份,-9.990966576,1.285,6.241,电力设备-电池-电池化学品,固态电池;锂电池概念;宁德时代概念;烟草;同花顺漂亮100;储能;比亚迪概念;专精特新;消费电子概念;新能源汽车;西部大开发;人工智能;深股通;融资融券,14,-225790210.0,11.888970866666666,40983638000.0
002779,中坚科技,-9.9971918,0.883,2.786,机械设备-专用设备-农用机械,机器人概念;华为概念;人民币贬值受益;乡村振兴;融资融券;深股通,6,-65065431.0,5.366141953333333,21256629000.0
601869,长飞光纤,-9.99810821,0.779,5.126,通信-通信设备-通信线缆及配套,共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;第三代半导体;太赫兹;人形机器人;抖音概念(字节概念);量子科技;新能源汽车;机器人概念;专精特新;沪股通;工业互联网;海工装备;特高压;创投;智能电网;一带一路;风电;融资融券,22,-233964238.0,10.044118093333333,38663091000.0
603958,哈森股份,-10.006715917,0.583,1.246,纺织服饰-服装家纺-鞋帽及其他,DeepSeek概念;华为概念;机器人概念;3D打印;海峡两岸;消费电子概念;股权转让(并购重组),7,-16936182.0,2.6268903066666667,2939424000.0
002725,跃岭股份,-10.01048218,1.083,24.412,汽车-汽车零部件-轮胎轮毂,2025中报预增;碳纤维;燃料电池;5G;新能源汽车;人民币贬值受益;共同富裕示范区;芯片概念;回购增持再贷款概念;中俄贸易概念;一带一路;股权转让(并购重组),12,-117124918.0,15.04999836,3640277100.0
300723,一品红,-20,3.077,4.034,医药生物-化学制药-化学制剂,重组蛋白;创新药;减肥药;生物疫苗;仿制药一致性评价;猴痘概念;肝炎概念;流感;医药电商;智能医疗;DeepSeek概念;英伟达概念;三胎概念;粤港澳大湾区;融资融券;深股通,16,-209568949.0,11.880712313333333,15587340000.0
