code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
002474,榕基软件,10.017889088,0.689444,9.496,计算机-IT服务-IT服务Ⅲ,Web3.0;云办公;华为鲲鹏;智慧政务;在线教育;数据安全;军工信息化;信创;区块链;网络安全;数据要素;鸿蒙概念;核污染防治;数字经济;智慧城市;安防;福建自贸区;人工智能;虚拟现实;海峡两岸;华为概念;军工;物联网;电力物联网;物业管理;智能电网;融资融券,27,379094505.0,8.054276666666667,6528421100.0
000859,国风新材,10.011918951,0.802647,16.409,基础化工-塑料制品-膜材料,光刻胶;装配式建筑;国企改革;柔性屏(折叠屏);芯片概念;新能源汽车;雄安新区;一带一路;深股通;融资融券,10,122281297.0,12.0066175,8269390300.0
600734,实达集团,6.082289803,1.358535,42.626,计算机-IT服务-IT服务Ⅲ,智慧政务;国资云;AI智能体;数据要素;阿里巴巴概念;算力租赁;华为鲲鹏;区块链;职业教育;云计算;福建自贸区;数字经济;数据安全;海峡两岸;智慧城市;DeepSeek概念;国产操作系统;人工智能;安防;东数西算(算力);创投;华为概念;物联网;国企改革;无人机;机器人概念;虚拟电厂;人形机器人;沪股通,29,-585227450.0,25.1008865,12914668900.0
000798,中水渔业,3.373493976,1.327173,21.734,农林牧渔-养殖业-海洋捕捞,预制菜;央企国企改革;人工智能;参股保险;国企改革;中字头股票,6,-13910733.0,13.59614716,4708312000.0
002398,垒知集团,2.272727273,2.544652,20.392,建筑材料-建筑材料-其他建材,海峡两岸;福建自贸区;新型城镇化;地下管网;房屋检测;装配式建筑;建筑节能;数字经济;水利;算力租赁;腾讯概念;AIGC概念;ERP概念;医疗器械概念;AI智能体;阿里巴巴概念;数字孪生;创新药;华为欧拉;人工智能;华为鲲鹏;数据安全;DeepSeek概念;光伏建筑一体化;一带一路;华为昇腾;数据中心;高铁;核电;储能;机器人概念;光伏概念;新能源汽车;汽车电子;碳中和;水泥概念,36,36201147.0,15.0,3586681100.0
000892,欢瑞世纪,-1.801801802,0.512974,14.382,传媒-影视院线-影视院线Ⅲ,短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;IP经济(谷子经济);人工智能;西部大开发,7,-79378803.0,12.458011059999999,5423682100.0
002114,罗平锌电,-2.106430155,3.313142,24.169,有色金属-工业金属-铅锌,金属锌;金属铅;金属铜;小金属概念;西部大开发;乡村振兴;绿色电力;粮食概念,8,-24106401.0,15.48212802,2855541000.0
002153,石基信息,-4.336947456,1.034534,5.075,计算机-软件开发-垂直应用软件,ERP概念;抖音概念(字节概念);阿里巴巴概念;AI智能体;腾讯概念;云计算;区块链;移动支付;DeepSeek概念;人工智能;跨境支付(CIPS);京津冀一体化;旅游概念;深股通;融资融券;证金持股,16,-50213521.0,6.973938753333334,18349291000.0
