code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600734,实达集团,-9.914529914529917,0.631,17.75,计算机-IT服务-IT服务Ⅲ,福建自贸区;海峡两岸;智慧政务;国资云;华为鲲鹏;数据要素;阿里巴巴概念;AI智能体;区块链;数据安全;职业教育;算力租赁;数字经济;智慧城市;云计算;安防;国产操作系统;人工智能;DeepSeek概念;华为概念;东数西算(算力);物联网;创投;无人机;国企改革;机器人概念;虚拟电厂;人形机器人;股权转让(并购重组);沪股通,30,-386967396.0,19.31684792,11477285900.0
600936,广西广电,-9.955752212389365,2.14,11.616,计算机-IT服务-IT服务Ⅲ,西部大开发;国企改革;数字乡村;文化传媒概念;智慧政务;DeepSeek概念;乡村振兴;机器人概念;鸿蒙概念;5G;股权转让(并购重组);沪股通;融资融券,13,-77183048.0,14.28766096,6801076800.0
002682,龙洲股份,-9.974853310980716,0.107,4.793,交通运输-物流-物流Ⅲ,海峡两岸;商业航天;卫星导航;网约车;ETC;军工;垃圾分类;充电桩;农村电商;统一大市场;职业教育;航运概念;冷链物流;宁德时代概念;水利;燃料电池;机器人概念;新能源汽车;污水处理;智慧城市;储能;新疆振兴;一带一路;乡村振兴;人工智能;天然气;氢能源;车联网(车路协同);国企改革,29,-81362481.0,5.090082953333333,6039748500.0
001360,南矿集团,-9.979879275653925,0.253,7.423,机械设备-专用设备-能源及重型设备,金属回收;黄金概念;固废处理;高端装备;一带一路;专精特新;雅下水电概念;机器视觉;融资融券,9,-25099783.0,6.083162326666667,1829444200.0
001330,博纳影业,-9.983361064891842,0.277,4.096,传媒-影视院线-影视院线Ⅲ,短剧游戏;Sora概念(文生视频);文化传媒概念;IP经济(谷子经济);抖音概念(字节概念);AIGC概念;腾讯概念;阿里巴巴概念;西部大开发;新疆振兴;深股通,11,-88658809.0,5.196342846666667,14872295000.0
603322,超讯通信,-9.990375360923974,1.226,12.932,计算机-IT服务-IT服务Ⅲ,芯片概念;5G;东数西算(算力);智慧灯杆;Sora概念(文生视频);数据中心;算力租赁;物联网;充电桩;2025中报预增;华为概念;粤港澳大湾区;多模态AI;快手概念;智能物流;智慧城市;人工智能;DeepSeek概念;AIGC概念;移动支付;一带一路;数据要素;沪股通,23,-144057834.0,14.567490013333332,7368758600.0
600577,精达股份,-10.0,1.392,8.456,电力设备-电网设备-线缆部件及其他,可控核聚变;超导概念;铜缆高速连接;智能电网;高压快充;军工;数据中心;特斯拉概念;比亚迪概念;ERP概念;新能源汽车;机器人概念;工业互联网;移动支付;跨境支付(CIPS);沪股通;股权转让(并购重组);融资融券,18,-419852810.0,17.514389533333333,22630893000.0
000632,三木集团,-10.000000000000004,0.763,19.606,综合-综合-综合Ⅲ,特色小镇;海峡两岸;福建自贸区;物业管理;露营经济;旅游概念;跨境电商;创投;国企改革,9,-79245865.0,13.492417300000001,2723067400.0
001280,中国铀业,-10.002667377967457,0.989,43.272,有色金属-小金属-其他小金属,核电;注册制次新股;军工;超导概念;稀土永磁;央企国企改革;小金属概念;一带一路;中字头股票;新股与次新股;融资融券,11,-897954730.0,27.4725,10667728200.0
603391,力聚热能,-10.005393743257825,1.802,18.615,机械设备-专用设备-能源及重型设备,工业互联网;专精特新;融资融券,3,-7623999.0,14.657479980000002,1518335000.0
603709,中源家居,-10.013593112822841,0.61,8.365,轻工制造-家居用品-成品家居,工业互联网;人民币贬值受益;养老概念;跨境电商,4,-9427817.1,7.290223008666667,2484670100.0
002752,昇兴股份,-10.024449877750605,0.948,11.314,轻工制造-包装印刷-包装,福建自贸区;海峡两岸;IP经济(谷子经济);抖音概念(字节概念);储能;新能源汽车;深股通,7,-80333015.0,11.519326966666668,7189015900.0
002309,中利集团,-10.026385224274403,1.567,11.41,电力设备-电网设备-线缆部件及其他,钙钛矿电池;智能电网;海工装备;高铁;充电桩;风电;光伏建筑一体化;光伏概念;锂电池概念;储能;军工;军民融合;碳中和;TOPCON电池;绿色电力;一带一路;新能源汽车;比亚迪概念;国企改革;5G;华为概念;深股通;摘帽,23,-18300050.0,11.890167666666667,4145270600.0
600330,天通股份,-10.034013605442174,0.679,13.066,电子-电子化学品-电子化学品Ⅲ,PCB概念;第三代半导体;5G;先进封装;OLED;毫米波雷达;商业航天;芯片概念;汽车电子;量子科技;智能穿戴;数据中心;锂电池概念;无线充电;军工;光伏概念;新能源汽车;智能物流;储能;高端装备;充电桩;创投;长三角一体化;固废处理;乡村振兴;融资融券;沪股通,27,-336050504.0,17.12917674666667,13049736100.0
601399,国机重装,-10.037174721189592,0.886,7.336,机械设备-专用设备-能源及重型设备,可控核聚变;核电;海工装备;超超临界发电;抽水蓄能;高端装备;风电;工业母机;央企国企改革;氢能源;水利;一带一路;新型工业化;储能;国企改革;固废处理;西部大开发;创投;乡村振兴;沪股通;融资融券,21,-436214650.0,15.829959666666667,34913611000.0
