code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
688090,瑞松科技,48.7,20.009857072449496,涨停,4.318,活跃,-728.825,亏损,新型工业化;传感器;芯片概念;机器视觉;专精特新;比亚迪概念;新能源汽车;机器人概念;人工智能;数字孪生;融资融券,机械设备-自动化设备-机器人,首板涨停,1,10,6,True,5945987700.0,小盘,6693148.0,15.654,活跃,16.511, 13:27:38, 14:38:35,机器人+3.31亿订单+高精六轴+AI视觉,361141,17587566.7,1.8894962215412228,较弱,17,极差,14.263079999999999,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
688160,步科股份,121.66,20.003945551390807,涨停,2.546,活跃,186.127,严重高估,减速器;人形机器人;新型工业化;机器人概念;工业互联网;物联网;数字经济;沪股通;融资融券,机械设备-自动化设备-工控设备,首板涨停,1,7,3,True,10219440000.0,中盘,83942010.0,6.198,温和,20.369, 13:29:43, 13:45:19,人形机器人+无框力矩电机+三季报增长+出海布局,262756,31966894.96,5.046635416334554,一般,6,较差,12.013559999999998,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
300582,英飞特,17.76,20.000000000000007,涨停,7.596,异常活跃,-50.484,亏损,智慧灯杆;换电概念;充电桩;人民币贬值受益;传感器;专精特新;储能;新能源汽车;回购增持再贷款概念,电子-光学光电子-LED,首板涨停,1,9,3,True,3934548000.0,小盘,170437132.0,21.491,激烈,21.081, 13:58:39, 15:00:00,LED驱动电源+充电桩+换电+储能,152650,2711064.0,0.3206225315451929,极弱,1,良好,15.261517284092376,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
300751,迈为股份,205.32,20.0,涨停,2.014,活跃,64.874,过高,存储芯片;第三代半导体;钙钛矿电池;先进封装;HJT电池;芯片概念;MicroLED概念;MiniLED;OLED;锂电池概念;光伏概念;高端装备;新型工业化;回购增持再贷款概念;融资融券;深股通,电力设备-光伏设备-光伏加工设备,首板涨停,1,14,2,True,39699117000.0,大盘,362064980.0,10.341,活跃,12.8, 11:04:21, 14:50:54,HBM设备+半导体订单+钙钛矿叠层+HJT整线,226982,46603944.24,1.135203222992499,较弱,2,良好,12.97502,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
301225,恒勃股份,139.09,19.99827452333708,涨停,2.27,活跃,114.509,严重高估,汽车热管理;PEEK材料;华为汽车;比亚迪概念;新能源汽车;车联网(车路协同);燃料电池;专精特新;医疗器械概念;氢能源;深股通;融资融券,汽车-汽车零部件-底盘与发动机系统,首板涨停,1,10,3,True,4156287400.0,小盘,36012418.0,11.895,活跃,23.259, 10:57:03, 13:29:03,PEEK材料+人形机器人+汽车零部件+三季报增长,190100,26441009.0,5.348291669550412,一般,2,良好,14.1669,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
688523,航天环宇,52.87,19.99546073536086,涨停,1.687,正常,313.394,严重高估,卫星导航;商业航天;大飞机;航空发动机;无人机;低空经济;2025中报预增;沪股通;融资融券,国防军工-军工装备-航天装备,首板涨停,1,7,4,True,5102797600.0,小盘,69845670.0,36.113,异常,24.898, 14:45:02, 14:45:02,商业航天+大飞机中标+卫星互联网+央企配套,2666657,140986155.59,7.650729212293271,一般,0,极好,14.545749999999998,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
301237,和顺科技,58.34,19.991772932949416,涨停,6.989,异常活跃,-152.489,亏损,碳纤维;消费电子概念;光伏概念;融资融券,基础化工-塑料制品-膜材料,首板涨停,1,3,1,True,3842418300.0,小盘,59870560.6,8.164,温和,18.182, 09:32:48, 09:39:39,碳纤维+商业航天材料+功能性薄膜,1157558,67531933.72,21.528737145709606,极强,1,良好,10.34608,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002146,荣盛发展,1.73,10.191082802547765,涨停,3.417,活跃,-1.821,亏损,特色小镇;物业管理;旅游概念;养老概念;雄安新区;PPP概念;京津冀一体化;一带一路;低空经济;深股通;融资融券,房地产-房地产-住宅开发,首板涨停,1,9,2,True,6766931900.0,小盘,197618537.0,10.935,活跃,4.459, 09:30:00, 09:56:33,海南低空+地产+康旅+债务展期,48478158,83867213.34,11.333791003966557,较强,1,良好,12.112425263793222,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
600759,洲际油气,3.36,10.163934426229511,涨停,1.002,偏低,125.855,严重高估,海南自贸区;土地流转;俄乌冲突概念;天然气;一带一路;人民币贬值受益;融资融券;沪股通,石油石化-油气开采及服务-油气开采,2天2板,2,6,1,True,13922784000.0,中盘,36672520.0,11.554,活跃,7.869, 09:34:43, 09:58:52,海南自贸区+油气勘探,19011671,63879214.56,3.97095341430016,较弱,11,极差,8.030005000000001,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
601113,华鼎股份,4.81,10.068649885583513,涨停,6.201,异常活跃,21.218,合理,,基础化工-化学纤维-其他纤维,首板涨停,1,0,0,False,5310972200.0,小盘,69229177.0,10.703,活跃,10.298, 13:00:07, 13:36:58,锦纶长丝+定增扩产+智能制造,6458900,31067309.0,5.4653727356451105,一般,1,良好,9.14191,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002591,恒大高新,8.2,10.06711409395972,涨停,1.768,正常,-801.739,亏损,垃圾分类;钠离子电池;固态电池;锂电池概念;绿色电力;智慧城市;军工;超超临界发电;数据要素;专精特新;军民融合;百度概念;腾讯概念;文化传媒概念;阿里巴巴概念;抖音概念(字节概念);拼多多概念,基础化工-化学制品-其他化学制品,2天2板,2,17,2,True,1832802200.0,微盘,40682810.0,7.546,温和,6.846, 09:30:27, 09:30:27,硅碳负极+航空航天+军工+防磨抗蚀,29183400,239303880.0,173.02992393025062,极强,0,极好,13.843516207400794,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002471,中超控股,6.89,10.063897763578273,涨停,0.102,极低,-283.124,亏损,商业航天;航空发动机;大飞机;军民融合;柔性直流输电;核电;海工装备;军工;智能电网;低空经济;无人机;风电;充电桩;高端装备;水利;光伏概念;机器人概念;东数西算(算力);数字经济;数据中心;创投;石墨烯;深股通;融资融券,电力设备-电网设备-线缆部件及其他,4天3板,2,22,9,True,9250333200.0,小盘,33497320.0,2.498,低迷,0.0, 09:25:00, 09:25:00,商业航天+高温合金+燃气轮机+电线电缆,67783070,467025352.3,202.09603271076384,极强,0,极好,8.3788630956427,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002187,广百股份,8.97,10.061349693251536,涨停,0.502,极低,-152.118,亏损,免税店;广东自贸区;预制菜;物业管理;网红经济;农村电商;IP经济(谷子经济);创投;国企改革;粤港澳大湾区;深股通,商贸零售-零售-百货零售,首板涨停,1,10,2,True,6287024900.0,小盘,261874163.0,7.256,温和,6.994, 09:30:57, 09:30:57,百货零售+广州国资+免税店,6857700,61513569.0,13.484144759904476,较强,0,极好,8.709348882694385,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002177,御银股份,7.77,10.056657223796035,涨停,4.351,活跃,379.42,严重高估,物业管理;互联网金融;创投;人脸识别;粤港澳大湾区;国产操作系统;深股通;融资融券,商贸零售-零售-商业物业经营,首板涨停,1,6,1,True,5244120300.0,小盘,434817342.0,26.669,激烈,11.615, 09:57:39, 13:04:24,曾涉及数字货币+智能金融设备+ATM+产业园运营,21176900,164544513.0,11.765426173282762,较强,2,良好,12.983846381798646,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002691,冀凯股份,9.85,10.055865921787714,涨停,4.171,活跃,-54.781,亏损,京津冀一体化;中俄贸易概念;机器人概念;3D打印;煤炭概念,机械设备-专用设备-能源及重型设备,2天2板,2,5,1,True,3309406000.0,小盘,17876581.5,10.098,活跃,2.682, 09:30:15, 09:33:21,机器人+煤矿装备+3D打印+专精特新,36970060,364155091.0,108.9710724569503,极强,4,一般,9.574673395892317,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
000917,电广传媒,11.5,10.04784688995216,涨停,0.538,极低,92.548,过高,IP经济(谷子经济);文化传媒概念;网络游戏;露营经济;旅游概念;创投;智能家居;物联网;华为概念;国企改革;深股通;融资融券,传媒-文化传媒-广告营销,首板涨停,1,10,3,True,16300783000.0,中盘,201197689.0,4.319,温和,8.995, 09:34:45, 09:34:45,智谱IPO+创投+文旅扩张+湖南国资,13826264,159002036.0,22.58723819271238,极强,0,极好,9.321746726397595,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002169,智光电气,11.72,10.046948356807514,涨停,0.899,偏低,-134.202,亏损,特高压;钒电池;智能电网;虚拟电厂;充电桩;储能;电力物联网;光伏概念;宁德时代概念;芯片概念;绿色电力;数据中心;碳中和;工业互联网;深股通;融资融券,电力设备-电网设备-电气自控设备,首板涨停,1,14,4,True,8891658900.0,小盘,167880930.0,10.268,活跃,10.423, 09:31:39, 13:44:00,高压储能订单+扭亏预期+收购储能股权,4663000,54650360.0,5.985849979528983,一般,19,极差,11.109920041889765,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002571,德力股份,11.62,10.037878787878775,涨停,1.197,偏低,-38.037,亏损,股权转让(并购重组);参股银行;C2M概念;创投;网络游戏;一带一路;光伏概念;拼多多概念;新能源汽车,轻工制造-家居用品-其他家居用品,2天2板,2,9,4,True,3466317900.0,小盘,58667709.0,13.34,活跃,6.629, 09:51:15, 09:51:15,翼元航空入主+定增补血+日用玻璃龙头+C2M概念,4466241,51897720.42,11.22366842921023,较强,0,极好,12.506675,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
603017,中衡设计,11.62,10.037878787878775,涨停,1.421,正常,42.777,偏高,建筑节能;装配式建筑;新型城镇化;光伏建筑一体化;一带一路;空间计算;DeepSeek概念;智慧城市;长三角一体化;独角兽概念;数字孪生;商业航天;低空经济;元宇宙;虚拟现实;多模态AI;新型工业化;数据中心,建筑装饰-建筑装饰-工程咨询服务,首板涨停,1,18,3,True,3209331200.0,小盘,91772532.0,6.178,温和,7.86, 09:33:39, 09:33:39,商业航天+中标基地+研究中心+建筑设计,5754900,66871938.0,33.72934005392099,极强,0,极好,12.288910000000001,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
600477,杭萧钢构,2.96,10.037174721189592,涨停,6.646,异常活跃,35.341,偏高,光伏建筑一体化;建筑节能;装配式建筑;雄安新区;一带一路;钙钛矿电池;HJT电池;储能;工业互联网;沪股通;融资融券,建筑装饰-建筑装饰-专业工程,首板涨停,1,9,3,True,7012139800.0,小盘,141646955.0,6.243,温和,11.152, 13:15:39, 13:15:39,绿色建筑+钢结构住宅+HJT电池,20158182,59668218.72,13.62917383848869,较强,0,极好,13.227500161873536,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002465,海格通信,15.35,10.035842293906812,涨停,1.897,正常,-163.106,亏损,卫星导航;军工信息化;太赫兹;商业航天;军民融合;成飞概念;大飞机;6G概念;国产航母;军工;无人机;时空大数据;低空经济;航空发动机;车联网(车路协同);5G;芯片概念;物联网;无人驾驶;智慧城市;脑机接口;人工智能;虚拟现实;DeepSeek概念;机器人概念;国产操作系统;同花顺新质50;智能穿戴;国企改革;回购增持再贷款概念;深股通;融资融券,国防军工-军工电子-军工电子Ⅲ,首板涨停,1,29,9,True,38035567000.0,大盘,724274530.0,8.761,温和,11.398, 09:35:09, 10:01:18,北斗导航+低空经济+商业航天+广州国资,8781800,134800630.0,4.045473596073065,较弱,4,一般,14.361024124130333,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
600178,东安动力,13.16,10.033444816053505,涨停,4.439,活跃,-1401.777,亏损,兵装重组概念;黑龙江自贸区;国企改革;央企国企改革;低空经济;飞行汽车(eVTOL);长安汽车概念;无人机;华为汽车;新能源汽车;华为概念;减速器;沪股通,汽车-汽车零部件-底盘与发动机系统,首板涨停,1,12,5,True,6138826300.0,小盘,175622127.0,5.756,温和,9.866, 09:48:22, 09:48:22,增程动力+华为合作+兵装重组+国企改革,4922192,64776046.72,18.33190560844674,较强,0,极好,13.344172443390946,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
603778,国晟科技,16.78,10.032786885245908,涨停,1.014,偏低,-54.71,亏损,硅能源;HJT电池;TOPCON电池;钙钛矿电池;固态电池;锂电池概念;新型城镇化;光伏概念;PPP概念;储能;虚拟电厂,电力设备-光伏设备-光伏电池组件,首板涨停,1,11,2,True,10787142800.0,中盘,72687967.0,15.889,活跃,11.607, 14:10:53, 14:26:59,光伏组件+异质结+固态电池+孚悦科技,1402550,23534789.0,1.3730910187384755,较弱,5,一般,10.850154999999999,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
002272,川润股份,17.88,10.030769230769224,涨停,0.774,极低,-300.244,亏损,液冷服务器;数据中心;抽水蓄能;特高压;储能;传感器;高端装备;光热发电;核电;机器人概念;华为概念;智能电网;工业互联网;风电;氢能源;超超临界发电;军工;水利;低空经济;垃圾分类;碳中和;数字经济;西部大开发;深股通;融资融券,机械设备-通用设备-其他通用设备,首板涨停,1,23,8,True,6910492100.0,小盘,493350235.0,14.306,活跃,0.246, 09:30:00, 09:30:00,液冷服务器+AI液冷+清洁能源装备+军工,7627000,136370760.0,13.794629456122454,较强,0,极好,13.154979733923295,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
600058,五矿发展,11.52,10.028653295128928,涨停,2.827,活跃,81.235,过高,央企国企改革;国企改革;一带一路;统一大市场;小金属概念;2025中报预增;融资融券;沪股通,商贸零售-贸易-贸易Ⅲ,首板涨停,1,6,2,True,12348411400.0,中盘,161882441.0,5.978,温和,10.888, 09:56:41, 14:54:44,黑色金属+一带一路+央企改革,239700,2761344.0,0.3740424349816095,极弱,19,极差,10.476159999999998,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
603936,博敏电子,12.95,10.025488530161425,涨停,3.235,活跃,152.577,严重高估,AI PC;共封装光学(CPO);PCB概念;存储芯片;先进封装;苹果概念;汽车电子;5G;MiniLED;EDR概念;消费电子概念;智能穿戴;第三代半导体;数据中心;比亚迪概念;华为概念;卫星导航;机器人概念;新能源汽车;物联网;商业航天;充电桩;军工;液冷服务器;沪股通;融资融券,电子-元件-印制电路板,首板涨停,1,24,7,True,8163654200.0,小盘,424278051.0,16.186,活跃,9.856, 09:51:31, 13:54:13,800G光模块+商业航天+PCB+HDI,3528356,45692210.2,3.458009132358871,较弱,1,良好,17.019212974578252,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
605069,正和生态,13.5,10.024449877750616,涨停,0.744,极低,-101.001,亏损,新型城镇化;土壤修复;碳中和;污水处理;雄安新区;水利;智慧城市;数字孪生;物业管理;旅游概念;京津冀一体化;PPP概念;数字经济;乡村振兴;人工智能;IP经济(谷子经济);元宇宙;AIGC概念;AI智能体;智谱AI,环保-环境治理-综合环境治理,首板涨停,1,20,2,True,1136177250.0,微盘,36248892.9,17.023,活跃,8.802, 09:50:04, 09:52:10,智谱AI+AI生态+水利基建+回购延期,2946090,39772215.0,20.563709010210136,极强,1,良好,11.654023198492396,E,87.0,24.0,56.68591546481518,"机器人概念, 新能源汽车, 商业航天, 国企改革, 低空经济",20251229,False
