code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600800,渤海化学,-9.890109890109894,0.202,0.883,石油石化-石油加工贸易-石油加工,天津自贸区;丙烯酸;氢能源;环氧丙烷;国企改革;芯片概念;融资融券,7,-10019506.0,1.2940567866666668,4549893900.0
600151,航天机电,-9.97757847533633,0.882,17.857,电力设备-光伏设备-光伏电池组件,军民融合;军工;汽车热管理;光伏概念;央企国企改革;新能源汽车;绿色电力;国企改革;比亚迪概念;人民币贬值受益;上海自贸区;TOPCON电池;融资融券;沪股通,14,-1257099390.0,27.205,23034092000.0
605580,恒盛能源,-9.985611510791363,2.386,5.704,公用事业-电力-热力,培育钻石;碳交易;绿色电力;固废处理;沪股通,5,9227190.0,8.802666666666667,8758400000.0
600730,中国高科,-9.98603351955307,0.105,0.798,社会服务-教育-教育Ⅲ,化债概念(AMC概念);职业教育;在线教育;人工智能;DeepSeek概念;信创;物业管理;创投;参股券商;融资融券;沪股通;股权转让(并购重组),12,-37957183.0,1.5536436599999999,7561995900.0
002565,顺灏股份,-9.999999999999991,0.872,23.596,轻工制造-包装印刷-包装,商业航天;卫星导航;生态农业;工业大麻;土壤修复;一带一路;跨境电商;回购增持再贷款概念;新型烟草(电子烟);东数西算(算力);深股通;融资融券,12,-638393130.0,24.9478626,14977008000.0
002865,钧达股份,-10.000000000000005,1.161,16.27,电力设备-光伏设备-光伏电池组件,BC电池;TOPCON电池;钙钛矿电池;光伏概念;海南自贸区;新能源汽车;融资融券;深股通,8,-295950278.0,18.82150556,10017771000.0
603679,华体科技,-10.005750431282348,1.923,26.144,电子-光学光电子-LED,商业航天;卫星导航;低空经济;换电概念;西部大开发;智慧灯杆;智慧城市;数字孪生;创投;车联网(车路协同);充电桩;人工智能;虚拟电厂;无人驾驶;物联网;数据要素;储能;DeepSeek概念;智慧政务;新能源汽车;华为数字能源;华为概念;智能家居;锂电池概念;虚拟数字人;腾讯概念;东数西算(算力);数据中心,28,-133720510.0,17.4819102,2578998100.0
001330,博纳影业,-10.044150110375277,0.267,3.302,传媒-影视院线-影视院线Ⅲ,短剧游戏;Sora概念(文生视频);文化传媒概念;IP经济(谷子经济);AIGC概念;抖音概念(字节概念);腾讯概念;阿里巴巴概念;西部大开发;新疆振兴;深股通,11,-24672430.4,3.3622819413333334,11202329700.0
300941,创识科技,-19.986144786976098,1.087,25.161,计算机-计算机设备-其他计算机设备,移动支付;数字货币;海峡两岸;福建自贸区;智慧政务;蚂蚁集团概念;信创;数据安全;鸿蒙概念;数据要素;数字经济;养老概念;云计算;人工智能;AI智能体;DeepSeek概念;阿里巴巴概念;智能医疗;华为概念;雄安新区;深股通;融资融券,22,-16250597.0,13.042511939999999,2455255100.0
