code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
000078,海王生物,-9.922178988,0.674,13.011,医药生物-医药商业-医药流通,医药电商;流感;冷链物流;仿制药一致性评价;维生素;创新药;医疗器械概念;粤港澳大湾区;深股通;融资融券,10,-141287317.0,13.18474634,12160422500.0
603933,睿能科技,-9.984152139,0.745,17.228,电子-其他电子-其他电子Ⅲ,海峡两岸;福建自贸区;智能家居;消费电子概念;汽车电子;物联网;无人机;数字经济;存储芯片;MCU芯片;机器人概念;新型工业化;工业互联网;人形机器人;芯片概念;新能源汽车;工业母机;储能,18,-152305291.0,14.908605820000002,5894265900.0
000571,新大洲A,-9.985734665,0.982,11.543,煤炭-煤炭开采加工-煤炭开采,煤炭概念;海南自贸区;成飞概念;上海自贸区;大飞机;航空发动机,6,-99053362.0,12.131400573333334,5136291400.0
603429,集友股份,-10,2.524,4.377,轻工制造-包装印刷-包装,烟草;新型烟草(电子烟);储能;融资融券,4,-81076998.0,9.539539959999999,4956387600.0
002589,瑞康医药,-10.021321962,1.015,17.265,医药生物-医药商业-医药流通,医药电商;统一大市场;冷链物流;创新药;养老概念;医疗器械概念;牙科医疗;回购增持再贷款概念;智能医疗;人工智能;区块链;华为概念;融资融券,13,-125082078.0,15.03914156,5762796300.0
603815,交建股份,-10.027598896,0.343,1.031,建筑装饰-建筑装饰-基础建设,地下管网;新型城镇化;乡村振兴;水利;PPP概念;一带一路,6,-16971234.0,1.884258013333333,6053079000.0
601618,中国中冶,-10.029498525,3.62,4.357,建筑装饰-建筑装饰-专业工程,中字头股票;金属铜;金属钴;金属镍;金属铅;小金属概念;同花顺中特估100;央企国企改革;证金持股;光伏概念;高端装备;一带一路;沪股通;融资融券;国企改革;碳中和;装配式建筑;PPP概念,18,-486462750.0,17.633921666666666,54450488000.0
