code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
002321,华英农业,-9.87654321,1.037,7.209,农林牧渔-养殖业-其他养殖,养鸡;生态农业;农村电商;预制菜;土地流转;乡村振兴;食品安全;区块链;深股通,9,-22593910.0,7.8503782,6202699300.0
600340,华夏幸福,-9.929078014,0.244,4.423,房地产-房地产-产业地产,特色小镇;京津冀一体化;新型城镇化;雄安新区;PPP概念;智慧城市;人工智能;DeepSeek概念;低空经济;机器人概念;沪股通;融资融券;股权转让(并购重组),13,6776853.0,3.5586666666666664,9889121900.0
000572,海马汽车,-9.947089947,0.793,20.074,汽车-汽车整车-乘用车,海南自贸区;自由贸易港;网约车;充电桩;参股银行;乡村振兴;碳中和;绿色电力;氢能源;燃料电池;中俄贸易概念;百度概念;人民币贬值受益;新能源汽车;车联网(车路协同);无人驾驶;融资融券;深股通,18,-182002316.0,15.62254632,13975574000.0
000017,深中华A,-9.967497291,1.051,7.485,纺织服饰-服装家纺-饰品,黄金概念;粤港澳大湾区;2025中报预增;两轮车;锂电池概念;智能穿戴,6,-91317494.0,9.44384988,3663230400.0
603032,德新科技,-9.976247031,0.654,8.406,电力设备-电池-锂电专用设备,固态电池;锂电池概念;2025三季报预增;减速器;比亚迪概念;西部大开发;2025中报预增;新疆振兴;机器人概念;融资融券,10,-26960027.0,7.77820054,4390014600.0
601279,英利汽车,-9.981167608,1.605,8.325,汽车-汽车零部件-其他汽车零部件,海峡两岸;长安汽车概念;新能源汽车;锂电池概念;比亚迪概念;沪股通,6,-13512460.0,9.832749199999999,7580057000.0
001216,华瓷股份,-9.982174688,2.062,20.553,轻工制造-家居用品-其他家居用品,NFT概念;跨境电商;牙科医疗;参股银行;华为概念;人民币贬值受益;智能穿戴;特高压;柔性直流输电;消费电子概念,10,2223088.0,15.0,4969683800.0
603829,洛凯股份,-9.9845798,0.656,5.789,电力设备-电网设备-输变电设备,智能电网;储能;光伏概念,3,-2195552.0,5.543244373333333,4349314800.0
000632,三木集团,-9.98509687,0.94,23.636,综合-综合-综合Ⅲ,特色小镇;海峡两岸;福建自贸区;物业管理;旅游概念;露营经济;跨境电商;国企改革;创投,9,-37467742.0,13.09935484,2811508900.0
002240,盛新锂能,-9.991809992,0.104,1.416,有色金属-能源金属-锂,盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;西部大开发;回购增持再贷款概念;比亚迪概念;深股通;融资融券,10,-39812190.0,2.0002438,28561179000.0
002963,豪尔赛,-9.993830969,0.076,0.733,建筑装饰-建筑装饰-装饰园林,新型城镇化;物业管理;雄安新区;旅游概念;换电概念;碳中和;智慧灯杆;储能;高压快充;充电桩;数字孪生;智慧城市;物联网;腾讯概念;阿里巴巴概念;华为概念;数据中心;液冷服务器,18,-6796022.0,0.8145871066666666,1666352400.0
001203,大中矿业,-9.996785599,0.582,3.394,钢铁-钢铁-冶钢原料,金属锌;金属铅;小金属概念;固态电池;锂电池概念;金属回收;西部大开发;绿色电力;参股银行;储能;回购增持再贷款概念;乡村振兴;创投;旅游概念;职业教育;深股通,16,-13332647.0,3.9843196066666664,36128093000.0
002779,中坚科技,-9.999156189,2.025,3.863,机械设备-专用设备-农用机械,机器人概念;华为概念;人民币贬值受益;乡村振兴;融资融券;深股通,6,-122896208.0,10.033257493333334,17685117000.0
002208,合肥城建,-10,0.721,11.176,房地产-房地产-住宅开发,租售同权;物业管理;新型城镇化;国企改革;蚂蚁集团概念;长三角一体化;创投;独角兽概念;深股通,9,-183067904.0,12.914524746666666,8962421700.0
000688,国城矿业,-10.003746722,0.452,2.232,有色金属-工业金属-铅锌,钛白粉概念;金属铅;金属锌;小金属概念;金属铜;黄金概念;锂电池概念;西部大开发;2025中报预增;深股通;股权转让(并购重组);融资融券,12,64053086.0,2.6180000000000003,27450389000.0
002213,大为股份,-10.006064281,0.311,8.717,电子-半导体-数字芯片设计,存储芯片;小金属概念;WiFi 6;汽车芯片;PCB概念;芯片概念;信创;消费电子概念;硅能源;锂电池概念;无人驾驶;创投;粤港澳大湾区;比亚迪概念;新能源汽车,15,-75978658.0,8.108406493333334,6134658400.0
603122,合富中国,-10.016977929,0.236,4.694,医药生物-医药商业-医药流通,海峡两岸;猴痘概念;长三角一体化;智能医疗;人工智能,5,-2023619.0,3.7598057133333334,8438715800.0
601566,九牧王,-10.018105009,0.461,3.532,纺织服饰-服装家纺-服装,福建自贸区;海峡两岸;网红经济;IP经济(谷子经济);2025中报预增;融资融券;沪股通,7,56178494.0,3.5071666666666665,8567839900.0
603898,好莱客,-10.019518543,1.323,5.607,轻工制造-家居用品-定制家居,IP经济(谷子经济);智能家居,2,5989318.9,7.0455000000000005,4305902200.0
605399,晨光新材,-10.023446659,0.269,2.801,基础化工-化学制品-有机硅,有机硅概念;硅能源;专精特新;融资融券,4,-7883252.4,2.6974983813333333,4782405000.0
000592,平潭发展,-10.027855153,1.086,25.924,农林牧渔-种植业与林业-林业,海峡两岸;福建自贸区;化肥;旅游概念;民营医院;乡村振兴;合成生物;深股通;融资融券,9,-57865600.0,13.872311999999999,18557246000.0
000407,胜利股份,-10.055865922,0.833,15.253,公用事业-燃气-燃气Ⅲ,地下管网;新型城镇化;天然气;页岩气;俄乌冲突概念;合成生物,6,-21950706.0,12.521514119999999,4230028100.0
