code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
002796,世嘉科技,-9.980334317,2.154,10.421,通信-通信设备-通信网络设备及器件,6G概念;5G;储能;一带一路;医疗器械概念;军工;融资融券,7,-71763337.0,13.382600073333332,4169337200.0
003018,金富科技,-9.987917841,5.299,60.602,轻工制造-包装印刷-包装,,1,-316033458.0,21.32066916,2189829000.0
002976,瑞玛精密,-9.997093868,2.372,28.308,汽车-汽车零部件-其他汽车零部件,长安汽车概念;车联网(车路协同);汽车电子;无人驾驶;比亚迪概念;新能源汽车;飞行汽车(eVTOL);智能座舱;一带一路;特斯拉概念;5G;2025中报预增;富士康概念;锂电池概念,14,-93899708.0,16.87799416,2019747300.0
600234,科新发展,-10,1.682,3.025,建筑装饰-建筑装饰-装饰园林,物业管理;文化传媒概念;抖音概念(字节概念);摘帽,4,-2958597.0,6.280838606666666,3071495400.0
600756,浪潮软件,-10,0.787,20.638,计算机-IT服务-IT服务Ⅲ,DRG/DIP;在线教育;AIGC概念;财税数字化;智慧政务;国资云;AI智能体;云计算;信创;数字孪生;DeepSeek概念;人工智能;同花顺新质50;工业互联网;沪股通;融资融券;国企改革;回购增持再贷款概念;养老概念,19,-248176365.0,16.9310273,6708844200.0
600693,东百集团,-10,0.839,16.76,商贸零售-零售-百货零售,免税店;海峡两岸;福建自贸区;物业管理;旅游概念;冷链物流;统一大市场;跨境电商;数字经济;阿里巴巴概念;沪股通,11,-250762326.0,17.11274652,8602632500.0
603216,梦天家居,-10.011883541,0.263,2.473,轻工制造-家居用品-定制家居,芯片概念;智能家居;工业互联网;参股银行,4,-12435177.0,2.5548702066666666,6745280100.0
603122,合富中国,-10.015649452,0.928,22.552,医药生物-医药商业-医药流通,海峡两岸;猴痘概念;长三角一体化;智能医疗;人工智能,5,-198280862.0,16.28561724,9155210600.0
