code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600721,百花医药,-9.967320261437912,0.099,0.858,医药生物-医疗服务-医疗研发外包,物业管理;新疆振兴;西部大开发;青蒿素;CRO概念;细胞免疫治疗;合成生物;减肥药;创新药;肝炎概念;流感,11,-27995208.0,1.37940416,4237714900.0
001231,农心科技,-10.009943652635078,1.579,22.414,基础化工-农化制品-农药,乡村振兴;西部大开发,2,-72130772.0,15.39011544,1354920800.0
300290,荣科科技,-20.0,3.268,14.675,计算机-IT服务-IT服务Ⅲ,DRG/DIP;华为欧拉;华为鲲鹏;网络安全;智慧政务;虚拟现实;在线教育;信创;数据中心;华为概念;智慧城市;云计算;多模态AI;独角兽概念;鸿蒙概念;数字孪生;数字经济;人工智能;智能医疗;专精特新;DeepSeek概念;光伏概念;机器人概念;国企改革;深股通;融资融券,26,-707109880.0,28.925530933333334,14709476000.0
