,code,股票简称,最新价,最新涨跌幅,涨停,几天几板,a股市值(不含限售股),首次涨停时间,最终涨停时间,连续涨停天数,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,涨停开板次数,涨停日期
0,002848,*ST高斯,8.4,5,涨停,首板涨停,1385380200.0, 09:45:03, 14:14:39,2,军工+覆铜板+潍坊国资+ST板块,352500,2961000.0,2.7485594429586193,3,20251201
1,002632,道明光学,13.68,9.967845659,涨停,3天3板,7960200600.0, 09:40:30, 09:40:30,3,AI手机+AR镜片+固态电池+反光材料,11511296,157474529.28,13.53574873818635,0,20251201
2,002976,瑞玛精密,31.28,9.985935302,涨停,2天2板,2039964300.0, 10:01:21, 10:03:03,2,三腔空气悬架+锂电池+定增落地+三季报扭亏,7619719,238344810.32,57.02713184560375,2,20251201
3,000063,中兴通讯,46.3,10.002375861,涨停,首板涨停,186466770000.0, 10:55:57, 10:55:57,1,搭载豆包手机发售+AI手机,20300126,939895833.8,6.203103757175235,0,20251201
4,600868,梅雁吉祥,3.94,10.055865922,涨停,4天3板,7478705800.0, 09:34:45, 09:34:45,2,锑银矿+飞轮储能+水电+回购,35685779,140601969.26,18.244509817175086,0,20251201
5,920701,豪声电子,22.64,29.965556831,涨停,首板涨停,2268691900.0, 11:23:51, 14:46:15,1,消费电子+微型电声+泰国建厂+毛利率提升,725190,16418301.6,4.594226981509438,1,20251201
6,002565,顺灏股份,8.83,9.9626401,涨停,2天2板,9359304800.0, 09:25:00, 09:25:00,2,商业航天+太空算力+环保纸+工业大麻,40107550,354149666.5,378.13232139910906,0,20251201
7,301256,华融化学,17.21,20.013947001,涨停,首板涨停,8260800000.0, 14:24:27, 14:24:27,1,电子化学品+氢氧化钾+三季报增长,6740262,115999909.02,10.239216784443972,0,20251201
8,001270,*ST铖昌,46.56,5.0067659,涨停,首板涨停,9474939600.0, 09:33:33, 14:56:57,1,T/R芯片+低轨卫星+扭亏为盈+商业航天,22250,1035960.0,0.2597045764148326,8,20251201
9,002863,今飞凯达,6.17,9.982174688,涨停,首板涨停,3698813500.0, 09:48:21, 09:48:21,1,镁合金+机器人+一体化压铸+轮毂,47966453,295953015.01,212.62568206381934,0,20251201
10,002353,杰瑞股份,62.07,9.994683679,涨停,2天2板,43029648000.0, 09:25:00, 14:54:36,2,北美数据中心+燃气轮机+油气装备+锂电池回收,132680,8235447.6,0.23180450794426616,42,20251201
11,002806,华锋股份,14.54,9.984871407,涨停,首板涨停,2531498800.0, 09:25:00, 10:25:09,1,实控人变更+固态电池+新能源商用车+电极箔,4534488,65931455.52,10.668304901031537,1,20251201
12,002938,鹏鼎控股,49.64,9.993352537,涨停,首板涨停,114637830000.0, 13:02:51, 13:45:30,1,端侧AI+PCB+AI服务器+人形机器人+业绩增长,1233339,61222947.96,1.925579524434836,4,20251201
